,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[0.49972680868722325, 5.0]",[58829.55189025],[58534.37189025],"[[ 4.75184791 -3.73738844]
 [-4.77940209  4.04038934]
 [ 0.22059791 -0.4040551 ]
 [-2.27940209 -4.10775881]
 [ 2.72059791  2.92927823]
 [-3.52940209 -0.77442547]]",5.3364314335456344e+16,0,1.6730376661201796,7.207594978080254,[-1.7768 -2.512 ],295.18,"[[[4.751847911541191, -3.7373884375118553], [-4.779402088458808, 4.040389340265923], [0.22059791154119157, -0.4040551041785232], [-2.2794020884588084, -4.107758807882226], [2.7205979115411916, 2.9292782291548116], [-3.5294020884588084, -0.7744254745488934]], [[-2.6923777610284882, -4.099095607130067]], [[-2.6659354245109137, -1.759386115822059]], [[4.773644380479773, 1.83409756431692]], [[-5.0, -4.431511151361811]], [[-2.7959874518012473, 2.4690738290292176]], [[5.0, 0.837153360244607]], [[4.160286464399505, -2.5665739477110203]], [[-3.434309867936757, -1.362284493359446]], [[-2.343407805918931, 1.3386494385608583]], [[-4.591020280195939, 0.06817254506575268]], [[1.9406504763503998, 3.3131895391232185]], [[-3.1040157497312744, -3.0304843227707265]], [[-1.1072296635222667, -2.9248317628910656]], [[3.9621934515611335, 5.0]], [[-3.243692832012571, 4.556908728190747]], [[-0.4764131799470319, -2.056856558178883]], [[-0.15023349245351444, -5.0]], [[-0.28455456643456795, 3.1575462042303517]], [[-2.2472957798876245, 0.48639623996127584]], [[-0.211646865659012, -4.857109686037591]], [[2.9185114682844393, -5.0]], [[0.49972680868722325, 5.0]], [[1.4985432820548472, -3.5337867890814616]], [[-1.2567186413509852, 4.494966573986536]], [[2.626975685035703, -0.15423846401655905]], [[-5.0, -2.0096052564092]]]"
1,"[0.539056728161394, 3.953154439152431]",[512.30251272],[1133.41251272],"[[-3.11260079  2.93689952]
 [ 1.88739921 -1.13717456]
 [-0.61260079 -4.47050789]
 [ 4.38739921  2.19615877]
 [-4.67510079  0.71467729]
 [ 0.32489921 -2.61865604]]",1.8163313745358678e+20,1,2.4581735888567144,8.466319410537647,[-0.892   3.9912],-621.11,"[[[-3.1126007929803388, 2.936899515713006], [1.8873992070196612, -1.1371745583610688], [-0.6126007929803388, -4.470507891694401], [4.38739920701966, 2.1961587749722664], [-4.675100792980339, 0.7146772934907855], [0.32489920701966124, -2.6186560398425494]], [[3.806971882823909, 2.8928922625372446]], [[5.0, 5.0]], [[5.0, 4.2857386891580065]], [[5.0, 3.630408935620361]], [[-0.8263777928649111, 4.661444728428013]], [[-4.4010895980583395, 1.4010953125718695]], [[4.796417684975236, -3.657001697086227]], [[2.610926679948533, 2.5764790778436897]], [[5.0, -0.05626991762831134]], [[-5.0, -0.43243609053222826]], [[-4.815476746723569, -4.492942732564326]], [[5.0, 1.0541445619863454]], [[-5.0, 1.0588860641150901]], [[-5.0, 5.0]], [[0.539056728161394, 3.953154439152431]], [[2.5728523786963176, 1.7784463013514236]], [[1.6877976979179499, -1.419988310597995]], [[5.0, 3.307588319397631]], [[1.4757367845862168, -1.8190336874581705]], [[1.6099823488675167, 4.611046206040211]], [[3.729318808889702, 3.6642434082917834]], [[0.8358675657662124, 0.545149096584697]], [[0.4720782872678322, 1.897549207056583]], [[-4.3732369480503985, 1.4584581481550094]], [[-0.3804379969470162, -2.8990104937071925]], [[3.7657801727754223, -5.0]]]"
2,"[1.9676831723220465, 3.790649194789004]",[38384.24193557],[38639.06193557],"[[-4.24841824 -4.12069129]
 [ 0.75158176  2.91634575]
 [-1.74841824 -0.78735796]
 [ 3.25158176 -2.63920981]
 [-2.99841824  2.54597538]
 [ 2.00158176  0.69412353]]",3.0827068995870346e+20,2,3.106208082693872,11.22254485337142,[3.7408 3.7608],-254.82,"[[[-4.248418236991438, -4.120691289575646], [0.7515817630085619, 2.916345747461392], [-1.748418236991438, -0.787357956242313], [3.251581763008563, -2.6392098080941646], [-2.998418236991438, 2.545975377091022], [2.001581763008562, 0.6941235252391706]], [[0.886416896548145, 2.969362796293876]], [[0.10106198352199715, 0.1400142987388183]], [[-1.1537802578922216, -2.038445060077804]], [[-0.12586522758411942, 5.0]], [[3.1920486421795413, 4.503750843810283]], [[-1.0567423319795635, 4.76939897353713]], [[-5.0, 1.110599858029433]], [[5.0, -1.421241874523454]], [[-5.0, 4.065603796510524]], [[1.7498528871712085, -1.4592962377326255]], [[5.0, 0.21679069662584774]], [[5.0, -2.255234120328705]], [[1.113926927045521, -5.0]], [[3.595488577253762, 1.9939794252615506]], [[-1.4810073888461086, 1.982794112027916]], [[5.0, 5.0]], [[2.0145046695154476, 0.5161593892211751]], [[-3.7893990506420097, 3.5630432841267643]], [[2.9017292544668054, 0.6264999778691926]], [[-4.005595856522244, -3.100455466461368]], [[-3.634292449339916, -1.689617722811301]], [[-2.72220938710405, -4.796797595103926]], [[1.9676831723220465, 3.790649194789004]], [[-0.38176823251956277, 4.621796632465756]], [[3.8479358186364743, -0.4853404152509536]], [[-1.079302089355472, -0.6290277608690875]]]"
3,"[-0.6617209853665003, -4.731153144604334]",[626.44877188],[569.83877188],"[[ 0.58827901  3.54045179]
 [-1.91172099  1.31822957]
 [ 3.08827901 -2.01510376]
 [-3.16172099  4.6515629 ]
 [ 1.83827901 -1.39781981]
 [-0.66172099 -4.73115314]]",1.0316055205276333e+20,3,4.022065006692436,7.3209252397935085,[-3.8512 -2.2808],56.61,"[[[0.5882790146334997, 3.5404517936672697], [-1.9117209853665007, 1.3182295714450483], [3.0882790146334997, -2.0151037618882843], [-3.1617209853665007, 4.65156290477838], [1.8382790146334997, -1.3978198112710007], [-0.6617209853665003, -4.731153144604334]], [[0.7408318142963458, -4.7569064084830615]], [[-3.848503670820209, -2.6331515303080044]], [[3.1268176206843568, 0.4112879975974033]], [[-1.6757928889574383, -3.624878359962119]], [[5.0, -4.672486589848899]], [[-5.0, -3.1526724394481067]], [[5.0, -3.182733403137406]], [[2.6890709384679017, 1.9741152376825706]], [[-5.0, -4.13307398206547]], [[3.957057644501143, 1.0571220911088364]], [[-5.0, 4.187237271007165]], [[-5.0, 5.0]], [[-4.6198265370893115, -3.5103942864346993]], [[-5.0, 2.5739617753530317]], [[-3.709077486526091, 1.9796850317065706]], [[3.29960354646014, -3.739144839516458]], [[-5.0, -5.0]], [[-0.7956637531276428, -2.577856395099719]], [[-1.3877990388955839, 2.5990724999193926]], [[5.0, -4.169860108184872]], [[-0.6139775780935164, 4.702529804762477]], [[0.09387021452920219, 0.1184856069228075]], [[3.2901298019404366, -5.0]], [[-5.0, 0.13109245952438706]], [[5.0, -0.8639996377613613]], [[1.5148056460237156, -2.9690864495363836]]]"
4,"[-5.0, 3.866429446869917]",[3786.4438571],[3804.5438571],"[[-1.63470419 -2.11827607]
 [ 3.36529581  3.43727949]
 [-2.88470419  1.21505726]
 [ 2.11529581 -3.97012792]
 [-0.38470419  4.5483906 ]
 [ 4.61529581 -0.63679459]]",171681606327700.4,4,2.3238234706874525,5.425959416963655,[-0.6144  0.7192],-18.1,"[[[-1.6347041860587552, -2.1182760699177727], [3.3652958139412448, 3.4372794856377826], [-2.8847041860587552, 1.2150572634155612], [2.1152958139412448, -3.970127921769624], [-0.3847041860587552, 4.548390596748893], [4.615295813941245, -0.6367945884362918]], [[3.5987118549701367, 3.6304363538647606]], [[4.659284283595284, 4.944985577409857]], [[-4.526481453524608, 3.220886074729407]], [[3.833780454072768, 2.2453955245696635]], [[3.3998450411562833, 3.30267439408924]], [[-5.0, 2.2515342236828593]], [[0.8809141774501886, 0.23123162511792072]], [[-5.0, 0.24906443224818733]], [[-4.6419401237446, 3.0473439781361105]], [[-1.2930343260501183, 1.1295849972765317]], [[-3.2773176508739557, 2.34295822672996]], [[3.265174406160249, -0.2885568465900857]], [[-1.2924468448586413, 0.39720865890223467]], [[-5.0, 3.866429446869917]], [[-5.0, -5.0]], [[1.7704544057846139, -4.9524189785503445]], [[-4.853082092143385, -2.0481255530219675]], [[1.3807280926582184, -1.4314062515999062]], [[5.0, -0.15656038327144514]], [[-2.0102852818230548, -0.007321818023816076]], [[1.7468520252757251, -4.170436925400242]], [[4.205416636257926, -0.17629016772672323]], [[2.014765652767164, 0.33043769577180154]], [[-0.16599195904835717, 1.190722703193801]], [[-3.7246555111599755, 0.473284599201943]], [[-0.9657869218116429, 2.270306588973175]]]"
5,"[1.3784707674880632, 1.7790051888983651]",[521.03822642],[483.26822642],"[[-4.60110641 -2.16226316]
 [ 0.39889359  1.17107017]
 [-2.10110641  4.5044035 ]
 [ 2.89889359 -4.01411501]
 [-3.35110641 -0.68078168]
 [ 1.64889359  2.65255165]]",1.2299941558649626e+16,5,1.639486671259653,7.205884066348298,[-0.9792  2.0592],37.77,"[[[-4.601106406381959, -2.1622631619434145], [0.3988935936180411, 1.1710701713899194], [-2.1011064063819584, 4.504403504723252], [2.898893593618041, -4.014115013795266], [-3.3511064063819584, -0.6807816804619335], [1.648893593618041, 2.6525516528714013]], [[-2.4826326806381283, -0.20287447171276707]], [[3.978208971040928, 0.684997657957938]], [[5.0, 3.794480096537871]], [[3.573000623950436, 0.9051815533596091]], [[0.9774097346939566, -5.0]], [[-1.6374092530115232, -2.7232568594802014]], [[3.745027045876707, -0.9202021660135858]], [[-0.44875083255100684, 3.175716863382728]], [[-0.33693273545930735, 5.0]], [[-5.0, 5.0]], [[-5.0, 2.5309386152948408]], [[-5.0, -5.0]], [[-4.124219872423602, 3.639094920158222]], [[1.3784707674880632, 1.7790051888983651]], [[0.15526256762106183, -1.619659978722269]], [[3.7980292072919557, 0.08062990508272058]], [[5.0, -2.8094050657885123]], [[-5.0, 0.3223628040824552]], [[-2.2934590299138953, -5.0]], [[1.8392508190403039, -2.773280831732448]], [[-3.522636483131622, 5.0]], [[-2.782228851562715, 1.8162500817864013]], [[5.0, -1.0421785599986262]], [[-0.9964897938366429, 0.9862420034899216]], [[-0.02530054059706112, -0.0760959814507497]], [[-4.0579834911493755, 1.404947311418706]]]"
6,"[2.6832883291933936, 2.1215005383021506]",[72.15673666],[87.38673666],"[[-4.81671167  3.60298202]
 [ 0.18328833 -4.54516613]
 [-2.31671167 -1.2118328 ]
 [ 2.68328833  2.12150054]
 [-3.56671167 -1.95257354]
 [ 1.43328833  1.3807598 ]]",5.274619413722109e+17,6,1.094649285946616,8.655100122661866,[3.576 1.488],-15.23,"[[[-4.8167116708066064, 3.6029820197836298], [0.18328832919339355, -4.545166128364519], [-2.316711670806606, -1.211832795031186], [2.6832883291933936, 2.1215005383021506], [-3.566711670806606, -1.9525735357719265], [1.4332883291933936, 1.3807597975614092]], [[2.453560551871992, 1.9853577459203864]], [[5.0, -0.613405327667945]], [[1.1098431920335883, -1.3838115179393349]], [[5.0, 1.3909878630235815]], [[-2.8071250993968815, -5.0]], [[5.0, -5.0]], [[2.6225481702287667, 5.0]], [[-1.041222144024434, -2.5679453196749407]], [[0.8114759669408632, -0.1418597703144629]], [[-0.7347658533408504, 5.0]], [[4.375299810068316, -0.4830745795218279]], [[1.1397490291711374, 5.0]], [[4.007051883146885, 5.0]], [[3.746904676584786, -2.206251262975861]], [[2.059226879029332, -5.0]], [[0.006969096567663671, 3.2404288036722892]], [[1.738828494765957, -3.46517520729265]], [[5.0, 4.790287937659518]], [[-1.5909993816720587, 5.0]], [[3.366665643917568, 5.0]], [[2.916331021135293, 4.302307909137072]], [[-2.9706318527844897, 5.0]], [[1.7026596031856334, 5.0]], [[-0.4723960954556603, -0.3643877713660572]], [[-3.690107437850608, -5.0]], [[-1.9744265319628527, 1.3843869210421724]]]"
7,"[4.727279426389486, 1.4434202786765529]",[49.56763167],[210.99763167],"[[ 1.46950806  1.34114364]
 [-1.03049194 -3.1033008 ]
 [ 3.96950806  3.56336586]
 [-4.15549194  0.23003253]
 [ 0.84450806 -4.83169586]
 [-1.65549194  1.8349708 ]]",1640927872541396.5,7,1.2266434402616047,8.004480545237698,[ 0.5056 -3.6528],-161.43,"[[[1.469508056187384, 1.3411436418200493], [-1.030491943812616, -3.1033008026243962], [3.969508056187385, 3.56336586404227], [-4.155491943812616, 0.2300325307089377], [0.8445080561873839, -4.831695864352791], [-1.655491943812616, 1.834970802313876]], [[-0.34719634695587265, -5.0]], [[5.0, -1.5025380734529976]], [[0.20648277331919943, -3.1638733812663693]], [[3.1408300327817127, -1.5453624174837268]], [[4.090153671286111, -5.0]], [[0.09696680149705307, 5.0]], [[5.0, 1.878628168682509]], [[2.0323576285065554, -1.7069019761245978]], [[2.966080082052695, 0.15913763435437203]], [[1.2177277382262615, -2.524306421480262]], [[4.298207055478138, 0.7352697095581715]], [[5.0, 1.3002974038955366]], [[4.727279426389486, 1.4434202786765529]], [[3.3056515151105614, -0.36165927001050835]], [[-0.5892638491498108, -4.348681997243885]], [[-5.0, -5.0]], [[1.0489392952513172, 3.1777919090340467]], [[5.0, -3.4407057750606183]], [[5.0, 5.0]], [[-5.0, 4.081093633045807]], [[-1.8673882393272943, -1.5791455646680495]], [[3.057722904345119, 5.0]], [[-0.2614922798332496, -2.288091323424257]], [[5.0, 4.143213865558902]], [[-0.4259253151294387, -0.03881588586101934]], [[-5.0, -1.6929574953451112]]]"
8,"[2.091028503300988, 2.0329048917058765]",[2773.06065887],[2445.03065887],"[[-3.50487974 -3.48283291]
 [ 1.49512026 -0.14949958]
 [-1.00487974  3.18383375]
 [ 3.99512026 -4.71740081]
 [-4.12987974 -1.38406748]
 [ 0.87012026  1.94926585]]",3129157140074275.0,8,2.723100832890602,9.567371200614854,[3.224  3.3184],328.03,"[[[-3.5048797410274646, -3.4828329118436088], [1.4951202589725359, -0.14949957851027573], [-1.0048797410274646, 3.183833754823059], [3.995120258972536, -4.717400813078177], [-4.129879741027464, -1.3840674797448438], [0.8701202589725359, 1.949265853588492]], [[2.091028503300988, 2.0329048917058765]], [[-1.111481546217011, -3.0094440087278]], [[-3.997080832091116, -0.6093473464312865]], [[2.4670757736909015, 2.298426226701544]], [[3.502171293989778, 0.2836170474879129]], [[-3.158310229537633, 5.0]], [[2.7801300737851578, -2.1796749072937924]], [[4.814108542816669, -2.7489917176129235]], [[-2.488374534552579, 0.9748155243352882]], [[-5.0, -5.0]], [[-5.0, -2.752485459236144]], [[5.0, -1.1010393528450235]], [[-5.0, 2.796022450363942]], [[-5.0, 0.14718622928699973]], [[0.6720089083520452, 0.7826118038030125]], [[-1.585534022506205, -5.0]], [[-0.9053454904269693, -1.5019808332065319]], [[3.606948902239467, 3.414893695847261]], [[-3.7247281035441926, -4.4748842767935]], [[1.9192661107374822, 3.1167453325125245]], [[5.0, 1.828070599303205]], [[-2.077135241737841, -2.4697692552304846]], [[5.0, 5.0]], [[2.693348068634675, 1.2400163091427014]], [[-1.4590625892225881, -4.095875960420276]], [[5.0, 4.222529022582967]]]"
9,"[-4.605261795236808, 1.7751926245383796]",[-2.1821075],[29.9478925],"[[-1.39926908 -4.77067542]
 [ 3.60073092 -1.43734208]
 [-2.64926908  1.89599125]
 [ 2.35073092 -2.30153961]
 [-0.14926908  1.03179372]
 [ 4.85073092  4.36512705]]",1448071697631999.8,9,1.2593102447347069,6.92714710872139,[0.8672 1.7752],-32.13,"[[[-1.3992690819299591, -4.770675416361258], [3.6007309180700418, -1.4373420830279255], [-2.649269081929959, 1.895991250305408], [2.350730918070041, -2.301539613892123], [-0.14926908192995914, 1.031793719441211], [4.850730918070042, 4.365127052774543]], [[-5.0, 1.516561547714149]], [[5.0, -0.18896554858374487]], [[-5.0, -3.7739441261243734]], [[5.0, 1.5584930210462256]], [[5.0, -3.8627332159067347]], [[-5.0, -0.14148035137410023]], [[5.0, 2.1220615891818504]], [[-5.0, -1.5174736080801128]], [[-5.0, 1.838965360987927]], [[-1.955083925078133, 0.41444794006619223]], [[-5.0, -2.901937606246211]], [[-1.635645333244576, 1.6318188118463621]], [[-5.0, 2.6067549408285022]], [[-5.0, 0.8330483707593385]], [[-4.605261795236808, 1.7751926245383796]], [[-2.300712606276371, 5.0]], [[-0.5439343845121598, 2.0535828442871673]], [[-0.40487719144094014, -3.657476377860485]], [[-1.0839714536567953, 3.8839765366910117]], [[-2.39416836674656, -2.389808929496635]], [[-2.816063068122735, 3.8813596409405555]], [[5.0, -5.0]], [[-0.9486387662353136, 2.8918596544312836]], [[2.1448702871132914, -5.0]], [[1.5716025782367347, -0.470451733399929]], [[-0.419268610568252, -0.7500037069942649]]]"
