,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.8223324814494448, -5.0]",[232574.56723539],[232279.38723539],"[[ 2.22190989 -4.07765214]
 [-3.27286104  2.4772813 ]
 [ 1.1661644  -1.38395864]
 [-4.11296003  4.85299835]
 [-0.03888829 -2.48902663]
 [ 3.98336183  0.14028536]]",5.869152585373898e+16,0,1.738063546666655,7.726632150384906,[-1.7768 -2.512 ],295.18,"[[[2.221909890546443, -4.077652135118824], [-3.272861037236071, 2.4772812976509186], [1.1661644011146972, -1.383958644122493], [-4.112960029208944, 4.852998350664318], [-0.038888288591119924, -2.4890266328256274], [3.9833618284351644, 0.14028536267630987]], [[1.389502102827556, -1.3061326228429968]], [[4.761465819410673, 1.5226272965636793]], [[3.2098390758726474, 3.9570905786946025]], [[-2.2619078621249127, 2.9678168471954023]], [[-2.7948236144039056, -4.532767650141144]], [[-0.9898235570223213, 5.0]], [[-0.33234006975389807, 1.1761825785217788]], [[-2.8606442142413853, 5.0]], [[-1.8223324814494448, -5.0]], [[-0.7644785249085616, -2.7170728534758433]], [[-3.1352929601695134, 0.6714681174948015]], [[1.5464139158145351, 1.7516430604070556]], [[0.4874828983917709, -5.0]], [[4.361515592250304, -3.2413142872125738]], [[5.0, 5.0]], [[1.396657885725446, 5.0]], [[-5.0, -5.0]], [[0.49085112145854126, 3.151378594222358]], [[3.7008987899029315, -5.0]], [[-5.0, -2.2771056582410183]], [[5.0, -5.0]], [[-4.123587159948649, -3.688713686560541]], [[0.505727914884098, 0.6290955276699381]], [[-4.874726146009721, 0.25287630211595996]], [[-0.5790585100942293, -0.7005232277736351]], [[5.0, -0.9995403359501305]]]"
1,"[5.0, 3.744713644192381]",[39385.2562964],[40006.3662964],"[[ 1.54584482 -1.21202306]
 [ 2.59597418  0.84040797]
 [-2.1713159   1.95579492]
 [-4.0391866   4.4220108 ]
 [-1.28853188 -2.57048275]
 [ 3.51293929 -3.77325459]]",1.8149258341033237e+20,1,2.4040638492023514,8.926939300534793,[-0.892   3.9912],-621.11,"[[[1.5458448155068805, -1.2120230607936504], [2.5959741810604786, 0.8404079704843346], [-2.1713158954074956, 1.9557949221839541], [-4.039186598169037, 4.422010795286422], [-1.288531881012406, -2.570482754721092], [3.5129392881497132, -3.7732545940553806]], [[-5.0, -0.5665803298503665]], [[-0.7000820541228435, -0.12146247410889655]], [[3.2956079348311, -1.9370954713871171]], [[5.0, 5.0]], [[4.536376878466163, 3.2095187455091256]], [[-1.626711696021313, 4.7450158506273095]], [[5.0, 3.744713644192381]], [[5.0, 2.525091106597427]], [[2.841495302515371, 0.1690750032562658]], [[-4.661176565879002, -2.2835966108492856]], [[4.07273704550823, 3.6918714624390816]], [[2.239675345529079, -0.6447169153091377]], [[4.970391669854248, -4.87199990016553]], [[4.163192670351025, 0.042375583231408775]], [[0.9698110743604115, 5.0]], [[-5.0, -5.0]], [[-1.1752142043959106, 3.457175740011165]], [[-0.06845658503918078, 2.134177810444685]], [[-5.0, 3.1236446928227677]], [[-1.2103580629658195, -0.37646691179740444]], [[5.0, 1.3445154305634135]], [[-2.0442622684253675, 0.4762092124971806]], [[-3.451856265445344, 1.1170054699800693]], [[0.29286034860347243, 1.9357741556864037]], [[1.0297502753627228, -2.6090531368248913]], [[-0.13223618540862248, -0.639400369678591]]]"
2,"[5.0, 4.027062163717808]",[70642.30541233],[70897.12541233],"[[-0.66819704  3.83983388]
 [ 2.0891485  -4.92994772]
 [ 0.87235627 -0.12000334]
 [-1.80032275 -3.31310545]
 [ 4.31183681  0.99119663]
 [-4.05548119  1.72617544]]",3.0578393602619834e+20,2,2.8278588794628026,8.985776515595612,[3.7408 3.7608],-254.82,"[[[-0.668197044087985, 3.8398338806176486], [2.089148498723957, -4.929947716638458], [0.8723562672833296, -0.12000333588845802], [-1.8003227455460467, -3.3131054493979395], [4.3118368083887315, 0.9911966338802536], [-4.055481192874492, 1.726175435219261]], [[1.0794789777211666, -0.12363361332283433]], [[1.3184098234375738, -0.4452110164829043]], [[0.4717029993790492, 0.7588505413517634]], [[-0.6960137303326486, -0.2826000889395579]], [[3.0120429011048278, -0.9029494138323613]], [[3.7816229197238878, 5.0]], [[-5.0, 5.0]], [[5.0, 5.0]], [[-0.31617510666926774, 5.0]], [[5.0, -5.0]], [[2.276877529720103, 5.0]], [[1.5991761869912844, 5.0]], [[3.1094080986825103, 5.0]], [[-0.2053343942393301, 0.6573449490144647]], [[5.0, 0.4949804161638071]], [[3.8073720365312047, -5.0]], [[2.113113909706892, 1.9721711801577761]], [[3.4639234643129897, 1.3782532052145153]], [[0.7040831397239831, 3.298586033481319]], [[4.801106568315677, 2.646861629760328]], [[2.9067199623201034, 2.6775189778974604]], [[5.0, 4.027062163717808]], [[-5.0, 0.22388444640470206]], [[-2.7815107349045904, -1.4775264200062175]], [[5.0, -3.8738839970300063]], [[-5.0, 3.297058177504276]]]"
3,"[-2.237159583289518, -3.690278634840385]",[21641.13416026],[21584.52416026],"[[-3.37697958 -1.57871757]
 [ 3.13561569  0.03929175]
 [-2.23715958 -3.69027863]
 [ 4.44530994 -3.30158177]
 [-0.66479209  3.21612208]
 [ 0.16518147  4.14521285]]",1.1168401988526734e+20,3,0.8472335839406443,8.35907127667323,[-3.8512 -2.2808],56.61,"[[[-3.376979575635322, -1.5787175725940057], [3.135615692058252, 0.03929174798003032], [-2.237159583289518, -3.690278634840385], [4.44530993964243, -3.301581773895772], [-0.6647920933244293, 3.216122079677092], [0.16518147040814757, 4.145212852499631]], [[-0.8213936348767508, -0.8231917877768504]], [[-2.7783477431996983, 1.9733752719063515]], [[5.0, -5.0]], [[2.9164351847982255, -4.527183846289099]], [[5.0, -4.017848436278748]], [[-4.431822711800807, -3.186553763920391]], [[-5.0, -4.744188816882277]], [[-5.0, -2.260408782239253]], [[0.3538685709687081, 0.9400795419929421]], [[4.655321781244096, 2.4939559412250696]], [[-1.592184353621235, -0.39167286292754105]], [[1.8252034192584758, -2.6305673378778858]], [[0.3068300164189576, 1.5570167985522307]], [[1.466224995979752, 0.5822064222132093]], [[-2.360297143044008, -2.9389554904705024]], [[-4.30856100176276, 0.048342686806955526]], [[3.0173102300203665, -2.1538161440792045]], [[-5.0, 2.894332861329177]], [[-5.0, -0.7115829450103799]], [[-1.44605481336798, -5.0]], [[5.0, -1.1841568733784993]], [[-0.2931620015081248, -1.9057245791759447]], [[2.21900574893121, -5.0]], [[-3.644990062622752, -4.3485476832214625]], [[2.1942955159147046, -3.608326276741365]], [[-3.8506080911409604, -0.4248325113301435]]]"
4,"[-4.250123778124485, 2.661660353214307]",[251.78618222],[269.88618222],"[[-1.028934    1.77439422]
 [-4.18763124 -4.35310065]
 [ 1.81022008 -2.49803084]
 [ 1.65958076  4.46219802]
 [ 4.96207285  1.33697832]
 [-2.13041397 -0.13392394]]",174360497560292.28,4,1.1336989367793198,6.204531845644975,[-0.6144  0.7192],-18.1,"[[[-1.0289340009940573, 1.7743942196934261], [-4.187631242902968, -4.35310065240269], [1.8102200825836245, -2.4980308430898255], [1.6595807607286215, 4.462198020472396], [4.962072854123816, 1.3369783212970612], [-2.1304139692404886, -0.13392394147891373]], [[0.34508649572908306, -1.2738954986282185]], [[-2.6983243849190663, 2.699614766627427]], [[5.0, -0.5378671347929073]], [[-4.820106281519232, 3.5652384090891496]], [[-5.0, 2.07784303927775]], [[0.1577517965495412, 0.34572571825520004]], [[-5.0, 5.0]], [[5.0, -1.7339970961457172]], [[-0.8114018271167597, 0.7023597626441134]], [[-0.37484343104273, 0.6225122387678094]], [[-2.1941660594224666, 0.781091198087779]], [[3.5062818294903493, -0.47015879663951976]], [[1.071964799590944, -3.6136134456559965]], [[5.0, -5.0]], [[-3.8323311153453807, 0.470736315028336]], [[-4.250123778124485, 2.661660353214307]], [[3.156495751213832, -1.7327698772851496]], [[5.0, 5.0]], [[-0.5537592913664149, 3.5443292782335405]], [[-2.4334541569335744, 0.9959421190086335]], [[5.0, -2.223670735114601]], [[-5.0, 4.048804348678853]], [[5.0, -3.235282867826409]], [[-5.0, 4.800880540008115]], [[-5.0, -4.77455920609189]], [[1.6917529104108997, 1.3886079985195368]]]"
5,"[2.3840063908493656, 1.0752744787523039]",[192712.81413748],[192675.04413748],"[[-3.23432022  4.50785276]
 [-4.19591908 -3.75080608]
 [ 0.44002438  2.59476308]
 [ 3.07986743  1.54160104]
 [-1.31341148 -0.25538018]
 [ 4.47784171 -2.45183192]]",1.0127063484861204e+16,5,1.516913202103833,7.08016336022928,[-0.9792  2.0592],37.77,"[[[-3.234320217099136, 4.507852760780871], [-4.195919078725156, -3.7508060815401603], [0.4400243835801927, 2.5947630791683887], [3.079867425186789, 1.5416010361870258], [-1.3134114806668942, -0.25538018317063926], [4.477841712549843, -2.45183191687049]], [[4.839929063929251, 1.3697318726578747]], [[0.6137133837279217, 3.579744432299536]], [[3.355971292890925, 4.379709474973314]], [[-3.976426800530946, -3.683776397012624]], [[-1.0587289442910655, 3.7902325377389534]], [[1.3418198085816464, 0.49603137054329716]], [[0.18553825448931371, -1.4090662571034558]], [[3.2907356147212234, 0.14962725513889158]], [[-5.0, 3.4447739380400155]], [[-5.0, 5.0]], [[-3.7040429419109606, -0.7967351287098667]], [[-4.068074425059278, 1.2586108195585612]], [[2.3864579684517655, -4.2700446257812255]], [[-3.508561184956912, 2.749824957055572]], [[2.3840063908493656, 1.0752744787523039]], [[2.3435303519032593, -1.4166750808134883]], [[-0.9294005008091868, -5.0]], [[-2.5082211607101446, 1.0889580543377566]], [[5.0, -5.0]], [[-5.0, -0.3519032606743964]], [[-0.08859258096059199, 3.329721068062481]], [[-0.9123496876210959, 5.0]], [[5.0, -0.9100983637552996]], [[0.8632907935394835, -0.4577632025415375]], [[-5.0, -2.0011513800846346]], [[-0.3978698840194975, -3.1545272924630217]]]"
6,"[2.892188256464375, 2.064059065053189]",[8639.2779562],[8654.5079562],"[[-1.33414461  0.56606255]
 [-2.05854631 -3.61227859]
 [-4.02246355 -2.9718386 ]
 [ 1.94925689  4.32913961]
 [ 0.43929072 -0.79498559]
 [ 4.80688172  1.72598306]]",4.423158396802582e+17,6,1.25367689503147,8.810607732749268,[3.576 1.488],-15.23,"[[[-1.3341446085565059, 0.566062552608301], [-2.058546313074756, -3.612278591587662], [-4.022463550200163, -2.9718385953597846], [1.949256889599348, 4.329139614152856], [0.4392907234454988, -0.7949855866691324], [4.806881724342304, 1.725983062035647]], [[3.718612429652926, -4.813231573102792]], [[1.4511994368849925, -0.43563707894412274]], [[2.5204868083992253, -5.0]], [[-0.2581215123601452, -2.753710884626937]], [[-5.0, -1.1058280796456916]], [[-3.120757285974698, -3.3300674796701304]], [[1.8733658902058214, -5.0]], [[0.24536540332159215, 1.9720719387441281]], [[4.547999882625475, 5.0]], [[-2.61852327335479, 4.270335391393273]], [[4.319761499281528, 3.3927422629320603]], [[3.291731478013224, -3.10774198733291]], [[0.5751531138372636, 0.8159829970308649]], [[3.0077065703471404, 5.0]], [[5.0, -5.0]], [[4.552135016126379, -0.19711900335948881]], [[2.465312686407236, 2.6560744652691186]], [[2.9963147327191098, 0.008666625493349525]], [[-3.57566886408717, 5.0]], [[4.274589759197042, -5.0]], [[-4.913037214307621, 2.0288154307942277]], [[-4.962927892501499, -2.5746810890507046]], [[2.892188256464375, 2.064059065053189]], [[1.7934795689400782, 1.5881661022355171]], [[0.5667815650563547, -3.220338874111314]], [[2.887904772215957, -2.6437702303443853]]]"
7,"[1.1127703208934971, -2.8986508529542765]",[77.16821563],[238.59821563],"[[ 4.93435614  3.27885076]
 [ 0.86344531 -1.07657676]
 [-3.65128899 -4.39928961]
 [ 1.79251736 -2.65396944]
 [-2.34865527  1.57543197]
 [-0.9408049   4.78915543]]",1658670478500284.2,7,1.6290545663797347,8.564969275404085,[ 0.5056 -3.6528],-161.43,"[[[4.934356137092623, 3.2788507608329915], [0.8634453072034489, -1.0765767601524932], [-3.65128898755252, -4.39928960721488], [1.792517356762425, -2.653969435236246], [-2.3486552682667434, 1.5754319669902834], [-0.940804898983413, 4.789155434424703]], [[-0.9756901150573514, -0.8693269544716129]], [[2.505206510644167, -1.9210311239807965]], [[-4.387698805542026, 3.644408736949952]], [[0.9997962979854045, 3.3598695910805394]], [[-1.323258029932428, 3.0863318459920217]], [[4.021811182386145, 1.7039682649706829]], [[3.7801393011310185, 2.8449399072170736]], [[5.0, -5.0]], [[2.234791976198342, -5.0]], [[5.0, 0.8163390438274755]], [[5.0, 1.8949114769282855]], [[1.1127703208934971, -2.8986508529542765]], [[3.943166579310553, 0.25484069381406843]], [[-0.9199929107432308, -3.423074414898908]], [[-0.508173802935137, -5.0]], [[-0.16451254885897293, -4.18490004498377]], [[2.9085977493930444, -4.155287078266863]], [[-0.7113447036536183, -5.0]], [[-4.730903674208985, -0.6496294114614223]], [[1.862604851905724, 4.35215791479952]], [[2.3477293551244944, 0.6535585022193585]], [[0.6096901701073101, -3.8544424914003237]], [[4.6997619429087125, 1.5184675207450453]], [[5.0, -1.6836274263080802]], [[3.034105453483111, -0.5563267238218256]], [[-0.9811266340612175, -4.5798725492990275]]]"
8,"[3.670881374881129, 3.9008999394630792]",[3238.2670168],[2910.2370168],"[[-1.88540709  3.10108268]
 [-4.11342164  0.94015946]
 [ 2.45743149  4.03860101]
 [-0.58157942 -3.1558016 ]
 [ 3.74182475 -0.32712499]
 [ 1.48968121 -4.61071753]]",5230651990046573.0,8,1.0518159435288903,8.116573564082,[3.224  3.3184],328.03,"[[[-1.8854070880267555, 3.1010826795233797], [-4.113421642339948, 0.9401594623995289], [2.457431491744245, 4.03860101444813], [-0.5815794237558611, -3.155801598140198], [3.741824745558038, -0.3271249869047317], [1.489681207152942, -4.610717526303436]], [[0.6459809437613266, -2.306955286313963]], [[3.7414235864357046, 4.591611121919929]], [[-0.6278779231031221, -3.2206227641070893]], [[-3.275751740221778, -3.6238053279812212]], [[1.0003842246041181, -0.031165035250299122]], [[-5.0, -5.0]], [[-4.25228804195699, 2.938228940371838]], [[-2.358163067441113, -0.3218724140048726]], [[0.2731510570482864, 1.996556843809315]], [[4.90758277207652, 3.093609738189394]], [[-5.0, -0.7428161771312124]], [[0.10501065915186725, 4.361208039742688]], [[3.3507289219835665, 3.222660295430182]], [[-1.1205669107839156, 1.0030773660829582]], [[-5.0, -3.8569674301073564]], [[3.670881374881129, 3.9008999394630792]], [[-1.948471268482508, -2.767278456226419]], [[-2.7585356575614695, -5.0]], [[5.0, 1.362692875788215]], [[5.0, -5.0]], [[2.179867742092849, 0.9819439116338837]], [[1.8406370736042097, -0.5243352201187433]], [[5.0, 5.0]], [[-0.21836228097743413, -1.361976066645877]], [[2.0468987235005196, 2.4517690215413426]], [[-2.521559223380119, -4.017471186162336]]]"
9,"[-1.8959587250467538, 1.8136033597001762]",[1450.3230824],[1482.4530824],"[[-3.58745367 -3.05819372]
 [ 3.69906047 -1.36645389]
 [-1.33552662  4.15025905]
 [-2.69992766  3.11510029]
 [ 1.17710703 -4.79443203]
 [ 2.21360879  0.04449088]]",797843062783301.4,9,2.1927541358811857,6.5769375345033145,[0.8672 1.7752],-32.13,"[[[-3.58745366772342, -3.0581937215696815], [3.699060469806838, -1.3664538934286927], [-1.335526619885731, 4.150259051715237], [-2.699927655623216, 3.1151002913957324], [1.1771070310986236, -4.794432026592827], [2.2136087934316864, 0.044490879034296604]], [[0.5808965926573594, 3.036967408121913]], [[2.949059279525727, -0.17741500614602307]], [[5.0, 1.9047086805174447]], [[-0.9468278188906134, 2.009881900946981]], [[-5.0, 0.8026483326273278]], [[-2.702224517620256, 1.6848572368852055]], [[-1.8959587250467538, 1.8136033597001762]], [[-4.999999999999999, 5.0]], [[2.993795285811257, 3.779068796905885]], [[-2.1336447106352687, 0.871874737005762]], [[-0.8454279866143728, 2.790309714246911]], [[0.9340259424235244, 1.3925394028402414]], [[-4.924066062989419, -0.3302903407829953]], [[0.16354100517271777, 1.9046773281268192]], [[-4.113837767012083, 1.9507715123999567]], [[-3.920818487217362, 1.4785504677515817]], [[-3.5264530520442117, 1.9338961354334325]], [[5.0, 0.01940325507251505]], [[1.2918416291332946, 1.6403533525999687]], [[-1.6006617119065913, 1.6924827337657287]], [[-1.4503877657175168, -5.0]], [[0.7387092851225929, 1.9105166042697488]], [[3.970019672507128, 2.7364400589038187]], [[2.132239660781733, 0.0637366012584255]], [[5.0, 3.1369023226925856]], [[-2.7726268665186815, 4.6086557329822]]]"
