,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.005438506603241, -1.061576008796692]",[379.77623684],[84.59623684],"[[ 0.35689519  3.8727091 ]
 [-3.88595834 -2.50318885]
 [-0.86348802  0.30774653]
 [ 4.85397518 -1.43799961]
 [ 3.47887158  2.1920675 ]
 [-2.00543851 -1.06157601]]",7.055454934537074e+16,0,1.4683341993428791,7.053391728788482,[-1.7768 -2.512 ],295.18,"[[[0.356895187869668, 3.872709097340703], [-3.885958343744278, -2.5031888484954834], [-0.8634880185127258, 0.3077465295791626], [4.853975176811218, -1.4379996061325073], [3.4788715839385986, 2.192067503929138], [-2.005438506603241, -1.061576008796692]], [[2.6243945010287852, -4.610524327426388]], [[0.6515090439834816, -4.741664134630862]], [[0.7373962692724265, 3.4186848394938085]], [[1.986543730806018, 5.0]], [[-3.984133387302561, 5.0]], [[-3.471088735460574, -5.0]], [[5.0, 5.0]], [[-1.2722856881582247, -2.5045264139461163]], [[-5.0, -5.0]], [[5.0, 1.7467821572478544]], [[1.4852079930846647, -5.0]], [[2.83700429500915, -2.0765054122636584]], [[-3.6263365510289844, -3.5750626169664215]], [[-1.6096304473655583, -1.4952579604364356]], [[3.9192493210037616, -0.3189034373752428]], [[1.1911384788808805, -3.6371104850955955]], [[-5.0, -2.8626145079097314]], [[5.0, -5.0]], [[-1.7476466699597404, -4.6032187125636925]], [[-1.2804340042298796, -3.776955200657384]], [[-0.5641433782991017, 2.2107486957271902]], [[-0.3737433955330731, -3.211154452540709]], [[2.575628316942132, 4.448849476093745]], [[-3.0387904318688497, -0.49122988642570586]], [[5.0, -3.7157282080945655]], [[2.597850005287575, 0.7733432498227106]]]"
1,"[-2.9225723069519685, 3.9117068995984354]",[1609.5598839],[2230.6698839],"[[ 3.19178252 -3.03737337]
 [-4.60917681  0.87101221]
 [-1.49777979 -2.0061022 ]
 [ 0.0825125   4.09527421]
 [ 1.4269042  -0.25996149]
 [-0.03116786  3.63927245]]",1.814452603568278e+20,1,0.929991916339559,8.128845134394584,[-0.892   3.9912],-621.11,"[[[3.1917825154960155, -3.0373733676970005], [-4.609176814556122, 0.8710122108459473], [-1.4977797865867615, -2.006102204322815], [0.0825124979019165, 4.095274209976196], [1.4269042015075684, -0.25996148586273193], [-0.03116786479949951, 3.639272451400757]], [[-2.005303247400779, -2.383746486048247]], [[2.619679638150033, 0.44883833995645883]], [[-4.382397428200463, -1.7224767857009136]], [[2.409388026019783, -1.0507214404077732]], [[-4.84238272925158, -1.0068921593130093]], [[1.1616648225845527, -0.3608512972744839]], [[0.6274008533106951, 3.7227958204361213]], [[1.7659840615898763, -2.6330515647127846]], [[-4.675955872843975, 5.0]], [[5.0, 2.6115839371900997]], [[4.777273464035573, -4.876777661397288]], [[5.0, 5.0]], [[-5.0, 2.048109990996966]], [[5.0, 1.6856956792625284]], [[-5.0, 0.1476272370142218]], [[-3.1013058985014035, 2.775963884788644]], [[-0.6768156282057474, 1.5356093934224113]], [[-1.019302460461066, 1.1674427558650902]], [[0.9296121107689231, 2.250456240893048]], [[-2.9225723069519685, 3.9117068995984354]], [[-5.0, 4.70035592430789]], [[1.2992628920755542, -3.761088588830144]], [[-0.1322361863414624, -0.4492429485565753]], [[-3.3359106649526122, 0.6683017954010823]], [[-1.7090717908633835, -0.11088502246867904]], [[2.056776139032908, 4.868764523135039]]]"
2,"[4.283959669047418, 4.124274177855074]",[131858.95298985],[132113.77298985],"[[ 4.11580641 -0.17909278]
 [-2.61692613  3.65088403]
 [-0.42369604 -3.27309102]
 [ 1.30793393  0.39693534]
 [ 1.1616534  -4.85247642]
 [-2.11396337  1.47871792]]",2.7886495832501948e+20,2,3.9576994500414537,8.991136070610287,[3.7408 3.7608],-254.82,"[[[4.11580640822649, -0.1790927816182375], [-2.61692613363266, 3.6508840322494507], [-0.42369604110717773, -3.2730910181999207], [1.3079339265823364, 0.3969353437423706], [1.1616533994674683, -4.852476418018341], [-2.1139633655548096, 1.4787179231643677]], [[-1.7225320032843823, 4.88278735850488]], [[-0.9405920012657534, 0.03738264308275614]], [[5.0, -1.789713945526525]], [[-4.541990142301945, 4.26800124468209]], [[-0.6876700772326725, 3.721181263921192]], [[-1.3496150143600945, 4.204705578397871]], [[0.4290604514360857, 1.8421903149919208]], [[0.8739345454677341, 4.925197978199943]], [[3.5135422408697865, -1.6731102541004432]], [[0.9434893783196256, 3.6283388398179497]], [[3.754602854241895, 5.0]], [[4.6873557570303035, -4.8982727616234625]], [[3.7909436296504966, 2.955128882183718]], [[5.0, 4.227216044883586]], [[2.8171208664407112, 0.6571172521458671]], [[4.283959669047418, 4.124274177855074]], [[-5.0, -5.0]], [[0.9323441135883195, -2.752417126951144]], [[3.208180770131068, -4.895855528833733]], [[-4.503828444747261, 2.1518835741490534]], [[4.25312803274713, -3.511201624622598]], [[5.0, 1.761632982062311]], [[2.4077893284353333, -3.4784666085925693]], [[-3.9923768617004773, 5.0]], [[-3.627257026237407, -5.0]], [[-3.8460544506130923, 3.244913464070096]]]"
3,"[-0.8634379130394801, -4.427480959424172]",[9364.09862545],[9307.48862545],"[[-4.02719265  2.49166285]
 [ 3.36783528 -4.91974363]
 [ 0.04759371  3.59688342]
 [-1.87866658 -1.17917895]
 [-1.15430534  4.50391233]
 [ 1.74365342 -1.93229824]]",9.668481604968092e+19,3,2.2593045445281126,7.68625356783224,[-3.8512 -2.2808],56.61,"[[[-4.027192648500204, 2.491662846878171], [3.367835283279419, -4.9197436310350895], [0.04759371280670166, 3.5968834161758423], [-1.8786665797233582, -1.1791789531707764], [-1.154305338859558, 4.503912329673767], [1.743653416633606, -1.9322982430458069]], [[3.1967868128374204, -4.945644338504179]], [[-1.4314462438152056, 1.1899898523505954]], [[-1.4511926512258753, 1.8924452738915924]], [[4.636412909212142, -3.3368064391320384]], [[-5.0, -2.613686710055769]], [[-5.0, -4.034130450973931]], [[-3.5412844202478233, 0.16496851871077536]], [[-5.0, -3.2579947939260747]], [[-5.0, 0.5958066932603024]], [[5.0, 0.5209741663894217]], [[-5.0, -1.7563470219279311]], [[-5.0, 1.3040565955963994]], [[2.234311447341806, -2.7804744816908076]], [[-4.0918979371474835, -4.712353489375318]], [[1.736181925231486, -3.9550971024030424]], [[-5.0, -0.5059365205678749]], [[-0.6445279286047099, -3.499625640238641]], [[3.2184868325162714, -0.5796528023691383]], [[5.0, -1.367215626176605]], [[-0.8634379130394801, -4.427480959424172]], [[5.0, 2.464540503856168]], [[-2.7936592767254145, -2.1801462835509273]], [[-3.9024430136696258, 1.1327707273106609]], [[5.0, -4.253948880625308]], [[-0.75111732556676, -0.09999000047145305]], [[5.0, -2.5336050455021955]]]"
4,"[-0.3278716354592583, 0.6670654666703829]",[87.27017601],[105.37017601],"[[ 1.77407782 -0.03882013]
 [-4.65414893  4.86501157]
 [-0.91732085 -4.69747126]
 [ 3.01577926  0.16424596]
 [ 4.85729158 -2.76193246]
 [-1.48792773  2.2951746 ]]",157788698441177.4,4,1.8018730918917727,6.485190202264482,[-0.6144  0.7192],-18.1,"[[[1.7740778159350157, -0.03882013261318207], [-4.654148928821087, 4.86501157283783], [-0.9173208475112915, -4.697471261024475], [3.0157792568206787, 0.16424596309661865], [4.857291579246521, -2.761932462453842], [-1.4879277348518372, 2.2951745986938477]], [[-1.498434948616021, 1.6564570812752413]], [[3.620291323007711, 2.1054029300228203]], [[-5.0, 1.24150665372415]], [[0.3479959280729274, 0.7340401264702431]], [[5.0, -0.4688080335310406]], [[-0.9588910679666267, 0.682333807628723]], [[-0.3278716354592583, 0.6670654666703829]], [[4.187566033206272, -0.8326432916390699]], [[-5.0, 3.691280795307766]], [[5.0, 5.0]], [[-4.206751011210733, 3.1296156833880464]], [[-5.0, -2.6234087690206627]], [[3.248429432362494, -0.8935041691145822]], [[3.3265771707518503, -3.8336018029481322]], [[-1.2336932975148605, -2.3720418071105187]], [[1.7611142029790878, 0.9243633221394536]], [[-1.4139025484053547, -4.3759472531828365]], [[-4.600705063967144, 1.1934806434231549]], [[-4.6094415621827345, 3.415117292359188]], [[-2.969432154381446, 2.859305640172307]], [[-0.0035503896900809986, 5.0]], [[-0.23560561744603348, 3.3163294493337236]], [[3.360419975711972, 4.284187104026918]], [[2.7240514965575713, -2.7328986780085227]], [[2.8229898318606628, -2.7614610628540164]], [[-0.404849815326318, -0.8931938387159473]]]"
5,"[-2.420491951998806, 2.156909862714002]",[9587.06459408],[9549.29459408],"[[-3.15862313  3.39290206]
 [ 1.53710783 -3.88495818]
 [ 3.6401552   0.64513683]
 [-1.66836858 -1.45206034]
 [-0.11587113  2.45914459]
 [ 4.58779454 -0.44371665]]",1.391324920962649e+16,5,0.9514685555611017,6.454829317211025,[-0.9792  2.0592],37.77,"[[[-3.15862312912941, 3.392902063205838], [1.5371078252792358, -3.884958177804947], [3.6401551961898804, 0.645136833190918], [-1.6683685779571533, -1.452060341835022], [-0.1158711314201355, 2.4591445922851562], [4.587794542312622, -0.4437166452407837]], [[5.0, 3.18985269066295]], [[0.052843619243172824, 0.5509226787738657]], [[2.283950199588214, -0.3616987225093601]], [[-2.420491951998806, 2.156909862714002]], [[-3.4487042499832907, -3.2224545730300522]], [[-5.0, -1.482130533433929]], [[5.0, -5.0]], [[5.0, -2.8821844740497564]], [[-5.0, -5.0]], [[-1.0945761634547984, 2.248109816889766]], [[-5.0, 1.1375109482749288]], [[1.8062689779932917, 0.8971344445010101]], [[-1.3471050770091404, -5.0]], [[-4.689468050830138, 3.4833468025936822]], [[-0.5483529926442333, -3.6816561970548713]], [[4.481688961838784, 1.0232490252272337]], [[-2.4634740767572083, -3.428870865160441]], [[-4.620129174299121, -2.6961818719727173]], [[-0.5922689973157452, 1.3061133416139226]], [[-1.8249828160335795, 1.5024170582157388]], [[2.9734803603358686, 0.34377385632096163]], [[-3.487132564586436, 0.17638257079403552]], [[2.476385870772046, -0.6534852120876106]], [[-0.7266375460378753, -2.475557245713261]], [[2.646997951828695, -0.03496560804117854]], [[-1.8951726756674834, -0.8409600589986485]]]"
6,"[4.6906188015699515, 0.26872446124882793]",[119606.80844679],[119622.03844679],"[[ 4.45030333 -4.5532097 ]
 [-2.83641055  4.33467507]
 [-0.01236469 -1.20307088]
 [ 2.23147929  0.18373609]
 [ 0.5375737  -1.4197889 ]
 [-2.05844611  2.42689669]]",4.954232612544602e+17,6,1.873189874234424,7.015879707176246,[3.576 1.488],-15.23,"[[[4.450303325429559, -4.553209701552987], [-2.83641055226326, 4.334675073623657], [-0.012364685535430908, -1.203070878982544], [2.231479287147522, 0.18373608589172363], [0.5375736951828003, -1.419788897037506], [-2.0584461092948914, 2.4268966913223267]], [[3.0675141969683715, -3.248051253368448]], [[-3.3299925441321383, 0.9135213816971733]], [[5.0, -5.0]], [[1.4526593194628765, -2.5000878514307945]], [[-2.1048435552635105, -0.23493352487442024]], [[0.15855356553524155, 2.6665558717625806]], [[-0.5313784678815793, 1.1445376744253317]], [[5.0, -0.8947181839779319]], [[1.9102673016423417, 5.0]], [[-0.2064093744195819, -5.0]], [[0.4525726016147058, 5.0]], [[4.822750207939832, 4.762198114799956]], [[-1.6839602048652051, -5.0]], [[2.7190736184198894, 5.0]], [[-4.4075136696963915, -5.0]], [[1.8708632370234841, -5.0]], [[3.701961784379319, 5.0]], [[-0.2660173035609225, 5.0]], [[3.730848486571495, -5.0]], [[4.175755200829529, 3.5064552260781867]], [[4.6906188015699515, 0.26872446124882793]], [[3.462538730306785, 0.910920533765867]], [[4.007352008534394, 0.34096996148291703]], [[-5.0, 5.0]], [[-3.6377494153900547, -5.0]], [[1.1350007981940624, 2.577947748676297]]]"
7,"[-0.41305223689691745, -4.882690254787]",[783.20588637],[944.63588637],"[[-2.30492952  3.8115188 ]
 [ 1.58950508 -3.52669775]
 [ 3.78754437  1.57181382]
 [-4.50307872 -0.77738881]
 [-3.50691229  1.11476064]
 [ 2.90886641 -1.53595567]]",1654643491299961.2,7,1.0912158314894616,7.975909438245568,[ 0.5056 -3.6528],-161.43,"[[[-2.3049295227974653, 3.8115188013762236], [1.5895050764083862, -3.5266977548599243], [3.787544369697571, 1.5718138217926025], [-4.50307872146368, -0.7773888111114502], [-3.5069122910499573, 1.1147606372833252], [2.9088664054870605, -1.5359556674957275]], [[-2.5123037433302553, -3.791873301399704]], [[2.385141716564984, 3.0884250758277307]], [[4.22298761934819, -4.62569015668622]], [[0.43008043771080506, -5.0]], [[0.7314156444690976, -0.3385778909700475]], [[5.0, 5.0]], [[0.9726720171416481, -5.0]], [[2.382695162624531, 0.5001840325237707]], [[5.0, 1.0010287699061349]], [[1.3130618987074734, -2.3065283778485957]], [[4.480964251528315, 1.176898178614024]], [[5.0, 1.976052052877632]], [[-0.9928796100805214, -5.0]], [[-1.878604425233835, -0.1138766329487364]], [[-0.3251591326285877, -3.766913130605466]], [[0.5712879489441806, -3.4537359047760847]], [[4.467984090368174, 1.6635766953567672]], [[2.4664949188646927, -1.1722806821856235]], [[-0.41305223689691745, -4.882690254787]], [[-0.04774867863878107, -4.326225535393771]], [[-2.440961734570224, 2.150926932590137]], [[5.0, -2.659551327842472]], [[2.224798295915557, 0.12223887877362483]], [[-2.753016483912212, -2.244151457678218]], [[2.6866742286224183, -5.0]], [[-2.124427949782177, -0.04161884559085394]]]"
8,"[3.759017204127783, 3.8340019143182245]",[21586.33486361],[21258.30486361],"[[ 2.12873487  2.77226436]
 [-2.94054508 -4.74175163]
 [-0.08900166  0.41082382]
 [ 4.98023987 -2.07514077]
 [ 3.72802913  1.52412713]
 [-1.33938462 -0.96179962]]",3686089744332152.0,8,1.2238749311654682,10.147298177614445,[3.224  3.3184],328.03,"[[[2.1287348680198193, 2.7722643595188856], [-2.940545082092285, -4.741751626133919], [-0.08900165557861328, 0.4108238220214844], [4.9802398681640625, -2.0751407742500305], [3.7280291318893433, 1.5241271257400513], [-1.3393846154212952, -0.9617996215820312]], [[-1.45036130511643, -3.6664741689418285]], [[-3.950899449646454, -2.9807025207143125]], [[5.0, 4.483376371903278]], [[-5.0, 5.0]], [[0.968910125099287, -0.6242342963513303]], [[5.0, -5.0]], [[-5.0, -4.882720756993429]], [[5.0, 2.466065466024573]], [[-2.895329506037195, -3.4762193320414085]], [[5.0, -3.5054522994534443]], [[-0.614999696608589, -5.0]], [[2.128554696095671, 1.6788166724457445]], [[3.71398119906269, 5.0]], [[-3.2733130719568306, -1.198412467914526]], [[3.759017204127783, 3.8340019143182245]], [[4.91634894162005, 5.0]], [[1.6155881087452872, -2.873171197287556]], [[0.7482737012543313, 5.0]], [[-4.173200931667081, -5.0]], [[3.4508392721786776, -5.0]], [[-1.91691341791343, -5.0]], [[-0.2267558994877761, -2.3016120010080554]], [[-0.29633227527833306, -2.3015067892256735]], [[5.0, -0.12822587037639976]], [[-2.829645347436796, -2.024545306754901]], [[-1.5305382109030043, 5.0]]]"
9,"[-1.0832267361944141, 1.760461518193612]",[188.89701041],[221.02701041],"[[-0.56181566  4.00163274]
 [ 4.34712946 -4.82374292]
 [ 1.11510575  2.31534958]
 [-4.90772706 -1.49538517]
 [-3.35402086  0.48560679]
 [ 2.06853509 -0.67924559]]",1120129374017837.9,9,0.5943221580244483,7.460291999601821,[0.8672 1.7752],-32.13,"[[[-0.5618156585842371, 4.001632742583752], [4.347129464149475, -4.8237429186701775], [1.1151057481765747, 2.315349578857422], [-4.907727055251598, -1.4953851699829102], [-3.3540208637714386, 0.4856067895889282], [2.068535089492798, -0.6792455911636353]], [[-5.0, 2.3174525031220847]], [[-1.0832267361944141, 1.760461518193612]], [[5.0, 1.4472467423770972]], [[5.0, 2.942099287767898]], [[-2.9484459804445247, 2.0988583667004574]], [[1.8999038019324734, -2.556187131520089]], [[2.5949748887510227, 0.17618984918369485]], [[4.310919063493809, -1.045529112157569]], [[-0.22523878665176694, 4.399691830243547]], [[5.0, 1.6210020470237256]], [[3.0741362496993077, 1.0304799335836652]], [[-3.910971122575412, 3.2781954020085373]], [[-5.0, -0.23551598597881318]], [[0.6503045283540947, 1.9536895098894134]], [[-0.7833126044181632, 2.7914761491381648]], [[-5.0, -5.0]], [[-5.0, 1.271486206653549]], [[-5.0, 4.639658743811305]], [[-0.44222142489243427, 0.5199972410646305]], [[-3.0517667135803075, 1.3939665354129185]], [[-2.047024729582328, -0.6382871623587781]], [[-2.5880883684594473, 4.37391547088209]], [[3.529435922310143, 1.482043666469714]], [[-2.3787906842611117, -2.626535471460174]], [[0.19529070081333755, 2.2923041802115662]], [[5.0, -2.37661184906321]]]"
