,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[3.175756260112161, -5.0]",[-29.36493036],[22.36506964],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.01132595],0,0.9283319594364274,7.286024703479346,[ 1.7992 -2.308 ],-51.73,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[1.6252262872879735, 0.3856942493389285]], [[1.5784185212768236, -5.0]], [[0.2690888826846311, -0.17278384461078666]], [[5.0, -5.0]], [[4.326284410824384, -0.6111695065352835]], [[-5.0, 5.0]], [[-0.23748046251543506, 5.0]], [[-0.013502694650804378, 1.2123297240890243]], [[3.175756260112161, -5.0]], [[-1.2182831351644567, -4.414899322459897]], [[0.586589495915292, 4.716795893768436]], [[3.3224644977696727, -5.0]], [[-4.871080087525591, 2.4543316115420737]], [[2.7578817046725046, -5.0]], [[-0.35341434316592435, 0.7747232029006642]], [[-1.719833699308385, 5.0]], [[-2.6258644777184905, 5.0]], [[2.461781780524936, 5.0]], [[-1.8088388618340594, 2.934775945611663]], [[-3.6416268383142123, 5.0]], [[3.7355065304522928, 3.314804653571823]], [[3.767284212241879, -1.1764790144325032]], [[2.188105722437891, -0.6098727093963863]], [[0.28953663674451163, 1.4883958803452557]], [[1.1935398405327424, -1.9742024069578588]], [[-0.3302534498944286, 2.4144989974019033]]]"
1,"[1.4681105436280095, 0.38164188074270555]",[49.06431982],[19.09431982],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00821506],1,1.9406865924893721,7.152469390654471,[ 0.8744 -1.704 ],29.97,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-0.5250791358979026, 2.601481720985533]], [[-2.1795304177591612, 2.4714719545059065]], [[4.420461268449759, 3.566120040046787]], [[1.7356658071487696, -0.597583377488885]], [[1.1843933114785243, 4.644401780111904]], [[-1.8334367176524689, -3.7517767610647788]], [[-3.753163543904321, -1.4215067992778034]], [[3.3955433888886906, 0.7083420859681887]], [[-4.4449382741171055, 3.3259023653715123]], [[-3.33610638402352, -2.265664129726702]], [[5.0, -5.0]], [[0.241709286657939, -5.0]], [[1.9003119202372736, 1.9449509284502657]], [[-0.2423796914751346, 0.7112594109586095]], [[-0.4480798619991966, -5.0]], [[1.2945853320983858, -1.9003385216675102]], [[3.0750898731125273, 5.0]], [[-1.27216546543647, -2.6292628439321444]], [[3.592835559664434, 5.0]], [[1.2009808821587291, 0.23895100351690698]], [[0.8951359686752909, -0.5169792684111263]], [[-3.1886956180694295, 5.0]], [[3.4093024341169533, -5.0]], [[0.45469205171898874, -2.6378150631801995]], [[-0.680842728489884, -1.695493988306454]], [[1.6535776920946084, 1.7669979065235673]]]"
2,"[1.7215848528230548, 2.1072573439354247]",[-41.53405694],[10.17594306],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00585076],2,2.3215614389390695,10.00717981271835,[2.604  3.1328],-51.71,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[0.03471299099481634, 0.5211961395463106]], [[0.16519049912977032, 0.6973522278877897]], [[2.222481236132923, 4.694738190321813]], [[1.279479082004598, 2.70129253911257]], [[0.9147762829354547, 4.177702162120723]], [[5.0, 2.900155530273082]], [[-1.4242369359431566, -5.0]], [[-5.0, 5.0]], [[4.5343637910662, 0.5146640086505173]], [[-2.452588464657876, -3.6016225735615497]], [[5.0, -5.0]], [[0.37254286944284065, 1.1373865978607478]], [[-0.44073969753948866, 0.6849590654859247]], [[-3.708140712167207, -5.0]], [[3.331134729096967, 3.493860318161469]], [[-5.0, -0.24107791797435335]], [[-2.0765262729361296, 5.0]], [[-0.028737162917222392, 4.998101556462711]], [[-1.5012544018765484, -0.7706933113643402]], [[3.3447907718594205, 3.8969263804620407]], [[-0.40598412575775644, -1.984775791591569]], [[3.885084022046678, -1.7371402831614506]], [[-3.8219271234222223, 2.0413015229335563]], [[1.7215848528230548, 2.1072573439354247]], [[3.323534072138536, -3.628124377100929]], [[2.2356262701780927, 1.7841631545853243]]]"
3,"[-3.5242824642258195, -3.9391682600766926]",[-277.47187858],[2.47812142],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00115851],3,1.339028368477022,11.700407137892862,[-3.6176 -3.96  ],-279.95,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-4.236951023708524, -3.4000685342868286]], [[2.14293272842732, -2.9660494086585873]], [[-2.3513143143508572, -1.8592178648581308]], [[-5.0, 5.0]], [[-3.962131447679982, -5.0]], [[-3.5242824642258195, -3.9391682600766926]], [[-1.1884787591119252, 3.682731460808718]], [[5.0, -0.8127561696943607]], [[1.8603728402671726, -1.1992926089501337]], [[-4.123281837118654, 0.626883377411562]], [[-0.5501159062127141, -2.785818518715074]], [[5.0, 1.4838700814471069]], [[-2.092269942504451, -3.8719886674372055]], [[-5.0, -4.427651159777236]], [[0.5893281417183491, -4.699785950122227]], [[0.028756088752536685, -2.156053749157004]], [[5.0, -2.1529090832788906]], [[2.4732105077136315, 2.466055444127585]], [[3.734175252900209, -0.39745497291150944]], [[-4.107031044599835, -4.239155510570203]], [[3.4143029827948794, 4.661895101540987]], [[-2.0258285539931333, -2.43390734094502]], [[1.114364835919285, 1.48991480695765]], [[-2.3319713470821224, 1.113066000551183]], [[-4.546143367774009, 2.7061292026132286]], [[0.9298160813530423, -0.04416559269120679]]]"
4,"[2.8794920415071075, 0.24569526669126296]",[948.85443577],[16.86443577],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.01036827],4,0.5180592361122313,7.613877161914682,[1.3384 0.8832],931.99,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-0.61277010099079, 0.225456681902623]], [[3.5697076242998085, 2.486896395819495]], [[4.842320667240524, -1.704569603348993]], [[1.3804095012010797, 1.2579234385904663]], [[-1.1908822181439644, -4.5026547160779975]], [[-5.0, 3.739731796199339]], [[-1.727781810767927, 5.0]], [[2.8794920415071075, 0.24569526669126296]], [[-1.8243035209193081, 3.250348142853616]], [[-5.0, 1.6739246429933312]], [[3.8792264540027426, -0.17433282712616563]], [[4.246979674886414, 0.019195404119044107]], [[0.43636650392991494, 2.9018875088608143]], [[4.7719809954808365, 2.205920914144923]], [[-1.1191645775182155, 1.5404230858524082]], [[5.0, -5.0]], [[-2.7230000692810163, 3.3316284812045875]], [[3.2907639496477277, -1.4954437181390379]], [[5.0, -3.2978887911183667]], [[-4.17798796108791, 2.5572319066169134]], [[1.5279639528358828, -2.13390600749376]], [[4.059638057452577, 1.477788265961479]], [[2.961256563388578, -0.0688496528343853]], [[0.9028111191953245, 5.0]], [[-0.6160313152821663, -3.2866086017353133]], [[2.0827094840429394, -5.0]]]"
5,"[2.005359576741584, 3.1011248606606947]",[119.00764832],[5.69764832],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00231613],5,2.7044162913606877,9.684217790346695,[2.1352 3.1656],113.31,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-0.7699786892503404, -2.8063543752236275]], [[4.105580305554557, 4.996263102398199]], [[-5.0, 2.543548539847958]], [[2.005359576741584, 3.1011248606606947]], [[0.42853853277523857, 2.836580034244973]], [[-5.0, 0.7732565463642301]], [[5.0, 3.1281452514241317]], [[5.0, -5.0]], [[-2.451895456064691, 1.2684190485866884]], [[1.1893548928025468, 2.2175994706447617]], [[3.152408790248438, 3.6672681373967118]], [[-2.4270035379673414, -5.0]], [[-1.5387777547592314, 3.421647261341087]], [[2.8585333028418796, 2.968747628770777]], [[-1.060343768468379, 1.2446969904326064]], [[-1.9631348540533866, 2.1329981738696935]], [[-5.0, 5.0]], [[2.1194650933704655, 3.645794553834883]], [[-0.6150721718916443, 2.3893892949754685]], [[5.0, -0.6239043988845258]], [[-3.2694108241445887, 0.35327997056618043]], [[-5.0, 3.919493292933085]], [[-5.0, -1.555666396635641]], [[-3.2464014136314767, 0.8590184310973425]], [[5.0, 0.9781842513838792]], [[0.17927960096112094, 3.128575012794311]]]"
6,"[1.4681105436280095, 0.38164188074270555]",[-264.48834988],[35.53165012],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.0190643],6,1.6537475799148051,6.162576539244714,[-0.3008  0.6136],-300.02,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-1.3640474505074693, 0.3219351451579984]], [[-1.9186646967904415, 0.5568031908815695]], [[-2.4797358954376194, -1.1582727330666067]], [[3.445738443501858, 2.678503151427305]], [[2.5707251869658556, 1.688180549393182]], [[1.8722734377620327, -5.0]], [[3.723540955148773, -2.8011645673428247]], [[-2.6291034662889405, 1.2920288290692439]], [[1.8831792234698777, 3.427255383677893]], [[-1.8553154312612588, -4.217998013512639]], [[-3.488786021908585, 5.0]], [[2.149434432223331, 1.072572274740185]], [[-3.8360856118496556, -1.69965181243437]], [[-4.853007949475972, -3.167331288228741]], [[0.8164521990416953, -0.375710806250726]], [[-1.6370857782652317, 3.8923494769132074]], [[2.9025513278311728, 3.0371524460669024]], [[-2.828568001432155, -2.08377026879659]], [[-0.9459906103747006, -4.558335929856483]], [[4.2121310319870275, -0.0929877408166266]], [[-4.446145382926913, 2.3981744513130097]], [[3.5357402381074223, 3.654491147979936]], [[-1.3785105639092248, -0.9261285043612681]], [[3.2294253187415363, 1.8677147868535628]], [[-3.2908064068572687, -4.86654720477186]], [[-4.069790127580614, 4.172017220118292]]]"
7,"[3.871630987186912, -2.379622829929238]",[69.75933878],[25.04933878],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.01633434],7,1.3088445407170433,8.193966658534384,[ 2.916  -0.9864],44.71,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[1.6455004920274812, -5.0]], [[2.503768720684401, 5.0]], [[1.4548147916623546, 0.4372601335401593]], [[0.7490939204600204, 2.553838717659822]], [[5.0, -4.275721383778172]], [[3.3780380721122283, 0.19480942939214918]], [[-5.0, 5.0]], [[4.6464197924546635, -2.814975314627731]], [[4.938422545918486, -1.8908555020420126]], [[-0.8601248298339451, -3.9661197441133575]], [[1.418683677577076, -2.080895114227724]], [[-1.364793153266186, 4.993763705078756]], [[4.116723565077063, -3.271735563958937]], [[1.3011307079929633, 2.677639240232166]], [[2.6516167308581364, -3.3135670293527375]], [[3.871630987186912, -2.379622829929238]], [[3.7248546748686957, -1.8487231900385468]], [[0.4487026517037663, 0.37577385259008095]], [[-2.8173737101744143, 3.0535139363179318]], [[-5.0, 0.9671608356347743]], [[-1.0247698942657824, 3.5346076337132644]], [[2.1674677161833653, 0.926783603229179]], [[-2.566707681019794, -5.0]], [[-1.7388633127100106, 0.5256835603347394]], [[1.0147072213039063, 4.122073057501954]], [[3.7923283347372525, -1.2822424254962783]]]"
8,"[-1.1014885169878983, 3.9732259560464085]",[-982.64547414],[17.35452586],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00689244],8,1.4242226357783965,7.1251510994845875,[-2.2544  2.2248],-1000.0,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[-0.3963080523167841, -4.27406859322115]], [[-2.6076249685840414, -3.14934982103789]], [[2.1154024961207383, 0.05198866422206053]], [[-0.9377119119598364, 2.1985153022992203]], [[-0.4719207242459024, 1.0222852648290948]], [[-0.3819111858057067, 2.4068726240099365]], [[-5.0, 3.9744556522960814]], [[-5.0, 2.1852717973653455]], [[-5.0, -5.0]], [[0.5139685624940662, 5.0]], [[-5.0, -2.1129869771393492]], [[-1.1014885169878983, 3.9732259560464085]], [[-2.8571155435151114, -1.699845631957456]], [[0.3374901997784537, 3.87943018412746]], [[2.0271583875514345, 3.7015994066141182]], [[1.840091585771014, 4.810791469946757]], [[1.1397364206110794, -1.1236704164150482]], [[5.0, 1.4455774124277863]], [[-2.0868856927958293, 5.0]], [[4.2682771452629105, -0.15268986259058703]], [[-0.6772883430210092, 5.0]], [[-5.0, -0.7079069068066229]], [[-1.439538165941825, 3.696699386795337]], [[-0.6514986895977445, -1.1769928791242656]], [[-4.357356779194532, -1.3661766300146032]], [[-3.368248849789476, 1.0953855493410136]]]"
9,"[-2.7722621710820485, 3.612686037435249]",[307.23841997],[3.03841997],"[array([ 2.72715506, -2.28154927]), array([-4.87923355, -3.5113601 ]), array([1.46811054, 0.38164188]), array([-0.83087926,  2.18009195]), array([-2.82674617, -0.68585181]), array([4.51315301, 4.45370208])]",[0.00161831],9,2.1724332134875537,7.834046753120584,[-2.5496  3.5088],304.2,"[[[2.727155055771881, -2.281549265067269], [-4.879233549326591, -3.511360101194929], [1.4681105436280095, 0.38164188074270555], [-0.8308792566230876, 2.180091953305854], [-2.826746170365448, -0.6858518149679478], [4.513153006451947, 4.453702082943446]], [[0.868184726095416, -0.027257762016938997]], [[3.7567776832871567, 4.14120966361441]], [[-5.0, 2.0686453855997633]], [[4.470452664403132, 2.4292515569172792]], [[3.149619680529778, 3.733138290853404]], [[-1.8078455305406678, 2.140082096788255]], [[-0.9200330699785504, 3.274410943527483]], [[-1.5234655686707614, 5.0]], [[-5.0, 4.036110196839921]], [[0.7663234838039791, 4.578916058287903]], [[4.8963752679492885, -3.858436463419483]], [[-2.7722621710820485, 3.612686037435249]], [[-4.642559107879193, 1.004237777697466]], [[0.7914698256044961, -4.429596806245867]], [[-3.854250889189985, -3.157001766557872]], [[4.111508831999181, 1.7004725781075711]], [[-2.8220114740190625, 3.894394273471698]], [[-4.45071784032374, 2.7199217456889793]], [[0.9272269818759789, -0.7931843476458305]], [[2.834716352391382, 0.25204853696648044]], [[-2.6072266395351074, 1.2672526938702706]], [[-1.8907101268930795, -1.7673304478336593]], [[4.754681362356656, -1.7213849924563784]], [[-0.4551273026726381, -3.1783282438534233]], [[-3.431480805642764, 3.564065054799123]], [[1.7681971910577279, 2.18689993546287]]]"
