,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.4352866069193855, 1.4827329985540538]",[312.53680594],[1.91680594],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",105816.9151921023,0,3.1925256285813863,8.690786029833724,[-3.58617067  2.49428077],310.62,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[1.9291727605463218, -0.9596043352682165]], [[1.684089816306661, -2.453586503478462]], [[0.9262009732467408, -1.8024601832192526]], [[0.4524757047878175, -3.7533903129276407]], [[0.3017901523185421, 1.2792745776363046]], [[0.7161523811881533, 0.5113688468691353]], [[2.316785389274624, 1.0720762523432459]], [[5.0, -2.9500011025644963]], [[0.4252731413075277, -2.77467137686314]], [[4.666488041312945, -2.693113409830957]], [[1.130390132966726, -4.427164149577617]], [[1.3203795007980388, -0.00043256696708356026]], [[3.973973297258603, -3.490718786746056]], [[-3.8540917142225255, 4.733641599254666]], [[5.0, -1.9365537463492157]], [[0.366259800859617, -0.1671688664984666]], [[2.181141463266008, -5.0]], [[1.5676679148679415, -3.248218817437986]], [[5.0, 5.0]], [[4.399848453140613, -1.0672428674315637]], [[1.0835340825171085, 1.0440562556936375]], [[-2.4352866069193855, 1.4827329985540538]], [[5.0, 1.462272651229445]], [[-5.0, -3.087444793712717]], [[0.1229399563609705, 1.4741103645442442]], [[-5.0, 1.4249585715635866]]]"
1,"[-1.8372582278825693, -1.1414961350936499]",[40.98279133],[0.20279133],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",3050.396924942011,1,0.8991003012572555,6.345102290616388,[-2.51487651 -1.78747656],40.78,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[-2.491141798926999, 1.5255989894981798]], [[-2.858786040558835, 4.21680945290778]], [[-1.6040085260411179, -1.3687116782252156]], [[-1.902590296647258, 5.0]], [[-2.036678006953577, -1.104156776064788]], [[-3.0954292212111905, -1.2953669092563966]], [[-1.8372582278825693, -1.1414961350936499]], [[0.5776383420568906, 1.6222873732069556]], [[-4.001204072528488, 4.366218400795013]], [[-0.3343463545458642, 2.257744426901095]], [[5.0, -2.8912660510813364]], [[0.04376235542752301, 3.2657699860780713]], [[4.056572682356411, -0.9594071823296035]], [[-0.4232530534991885, 1.6753214296985157]], [[-2.2606584181443803, 3.926833848007946]], [[0.9180949122478319, 0.5080166858635674]], [[-2.6774972052268757, 3.4735612492936245]], [[-0.13215708910822874, -0.35249681679784417]], [[5.0, 0.005584722306253272]], [[2.164526667632958, 1.2334875003686534]], [[4.244621488623597, 0.32622745572401946]], [[-1.0582050561968928, 2.3248388924533105]], [[2.732594623724029, -2.756660074636406]], [[4.708476799145408, 0.6643526608424316]], [[4.215904559137002, -0.05625535968476446]], [[-1.8238885696972522, -0.7183215504288047]]]"
2,"[-1.2651079056626975, 0.46518386481545404]",[0.33947068],[1.93947068],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",254.32214392686564,2,1.0848994112643815,3.3323841518552935,[ 1.12844842 -2.01250113],-1.6,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[-1.4762038084116549, 3.964236867698215]], [[1.9764103194349687, 0.017271604622702753]], [[-2.1094830784862486, 0.3558981820423558]], [[4.9756569565523305, 2.5389153281830787]], [[1.775170526563529, 2.229469023467063]], [[4.017163450091893, 1.547359468515515]], [[-1.1616583359413908, 0.027472081663356424]], [[5.0, -2.4749663707895766]], [[2.153393907865603, 1.3234278170341276]], [[-4.788952549628859, -3.9742446543960384]], [[-4.798024588249746, -4.501161635770885]], [[-1.2651079056626975, 0.46518386481545404]], [[-3.6964232068204983, -4.362434297480348]], [[2.095232383470285, 3.464632516712697]], [[-2.7226486025142433, -4.822455188372559]], [[-1.9805180774582696, -4.449500729851655]], [[-0.8508375070597538, -5.0]], [[-4.8411370246812355, 4.432307432991828]], [[-2.7877793435906733, -3.5690048010884854]], [[5.0, 0.5137690017981817]], [[-4.937374410976707, -2.791195610585941]], [[-2.815200102193471, -2.5283886057747353]], [[-3.6842629959202218, -2.2166697271716105]], [[-2.476713843850468, -2.794952773109644]], [[-0.7726197358734583, 0.30189465041958424]], [[-2.0111855519566904, 1.0903132974597882]]]"
3,"[3.581709527438963, -1.0248870867811612]",[-370.82448077],[0.01551923],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",126535.24268527153,3,1.2587626753669479,4.832371547385818,[ 3.11464116 -0.80875318],-370.84,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[2.239825857247731, -2.391418015401455]], [[0.6051106999116032, -3.950226850020461]], [[3.4178031333547727, -1.901318807003935]], [[1.3860143048527798, -2.5750694375747196]], [[-0.15999014887713212, 0.7878237506787938]], [[2.8693969616737913, -2.03588348632729]], [[0.750385558979607, -3.6145480493614413]], [[-2.7183975083012104, -4.301817291654849]], [[0.3746180169219313, 4.315589494127124]], [[-2.2344797557142444, -4.232122624927177]], [[3.5198640780376618, -1.7748698267698115]], [[0.41353495459275597, 4.596586613829033]], [[0.0659497446463239, 4.252027968220002]], [[3.3347002137303132, -1.7125258611686098]], [[0.28659073656020984, 3.977582048408311]], [[0.6687656271332895, 3.8938571647803317]], [[0.6858093586590498, 3.4049882975715553]], [[3.8426818196038433, -0.9167248836965662]], [[-0.0509964329157219, -0.0718053927819691]], [[1.5995002639123623, -3.657984032065817]], [[1.9245964528118422, -3.9238509227125866]], [[1.1103605037049704, 4.163465065936961]], [[4.141654892319366, -0.8128147325198091]], [[3.542844660406302, -0.8440905590343316]], [[3.581709527438963, -1.0248870867811612]], [[2.8609291442016067, 1.041144660151265]]]"
4,"[0.8952953501996034, -3.350872039022013]",[-32.55880941],[0.00119059],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",429.9826526580353,4,0.18194272586149673,4.22062125637945,[ 1.05007547 -3.25449816],-32.56,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[2.18621572163155, 4.800189073737853]], [[0.4181824178456779, 3.5003965232580576]], [[1.917730969178947, -0.6118875083027758]], [[-4.172716326614898, 1.3473877379703776]], [[1.5527831350316248, -2.31376424187286]], [[0.7179333699333088, -3.0752026166361826]], [[1.7880410548386976, -3.123765373886852]], [[0.6778550424241746, -2.3327666507578533]], [[1.4690128796872306, -2.7510462942605303]], [[-1.9043273958752571, 0.04268647558485792]], [[-1.887280566642717, 0.5978571150663605]], [[0.7124711887264883, -3.565022811873921]], [[2.234465715865434, -1.8460169323805586]], [[-1.5721327901099447, -0.3563899538731961]], [[-2.5279742441472055, 0.07467717626461401]], [[2.551208482152043, -1.2989333375869734]], [[0.8952953501996034, -3.350872039022013]], [[0.7293344056392886, -4.186583175732416]], [[1.7455639925387363, -1.6535305912332738]], [[-0.6189461352699505, 3.255889539453575]], [[0.09607714833306942, -3.6588571076503253]], [[-3.9442837984231858, -5.0]], [[-4.948860314523135, 1.7971043164056302]], [[-4.997395050720248, 0.9447833802066117]], [[-3.6740526443772765, 1.9849954481473333]], [[1.3483380583812825, 3.248535458817469]]]"
5,"[-3.7673471685692292, -0.8539269894669524]",[515.40355074],[0.00355074],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",281345.16770802304,5,1.950046456151417,7.415330256113521,[-3.47257317 -0.72865779],515.4,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[-1.6289722770135244, 2.296918369315963]], [[5.0, 5.0]], [[-5.0, -5.0]], [[-0.597229256044996, -0.012757913689238171]], [[-5.0, 0.7970355749090653]], [[-0.8243804067100522, 5.0]], [[0.9468547259275751, 2.0468902411935748]], [[-4.830864439838116, 5.0]], [[-1.4374988458475073, 0.9453692170124911]], [[-3.5202711548710446, 3.1903722642905885]], [[-3.7919021403287996, -2.65171861090823]], [[-2.9302083653539355, -3.1657110370098303]], [[-5.0, -2.0132095692204843]], [[-1.6622828077039369, -2.5354787376479746]], [[-5.0, 2.6758781648731937]], [[-3.7673471685692292, -0.8539269894669524]], [[0.3485001448985677, 3.016293559546246]], [[-2.4974492044787273, 3.975692161188847]], [[5.0, -3.614393330817005]], [[-5.0, -2.8364134429687287]], [[4.105149710353507, 4.0301414187140185]], [[-0.6362198708628652, -0.13621176012180555]], [[-2.0611910219247256, 3.3393972195899675]], [[-3.5029015257356266, -1.3955909870172087]], [[-0.4096678109486809, 1.3362038967257026]], [[-3.7721926013572684, 1.1945475526137879]]]"
6,"[-2.6588586482943937, -1.1209564782244081]",[990.67443561],[4.44443561],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",1004436.6109930181,6,2.8422044532639346,7.581468867361424,[-3.60340225 -3.56066289],986.23,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[-3.045240166039592, -3.2839037459591762]], [[-5.0, -4.769758117598687]], [[-2.031728121364497, 0.5927776568399588]], [[2.4679039244229806, 2.1071184845943502]], [[-0.5022469500970033, 0.2075429682007215]], [[-2.6365283288390673, -1.5886082360392426]], [[-1.0143597204119963, -0.015610605775391244]], [[0.9248201096313151, 0.4633521598551874]], [[-1.7318074074284333, -1.2227884211532867]], [[-3.5061312983371034, -0.9254609443695268]], [[-0.5012354994390076, -1.5464637905970622]], [[-2.6588586482943937, -1.1209564782244081]], [[1.9411157368498668, 1.8388305524450534]], [[-2.5774586093643377, -0.8847024629611069]], [[2.965096500440425, 1.7980635513980876]], [[1.5711785517533445, 2.2019986249945007]], [[0.6128905502084013, 0.05863756862350854]], [[-5.0, -0.3781102847426228]], [[0.6837301224057164, 1.6841250653876247]], [[1.4782038911148947, -0.033598129150995165]], [[-4.95529877710363, 2.4480505429124175]], [[1.0365881846171099, 1.3896538195197983]], [[3.170264352275414, 0.12324125101519706]], [[2.8574441064857625, 2.501279674382066]], [[0.06494715597489606, 1.4189089299653481]], [[4.335778802989408, -0.22188564122182858]]]"
7,"[-2.228340268266668, -0.9982623355588535]",[125.38024557],[1.30024557],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",19647.962431729487,7,2.0611938306369395,7.494331995843029,[-3.52272698 -0.56982016],124.08,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[2.0900114661811493, 3.7703338003857105]], [[2.7307128936193035, 1.9262494625534075]], [[0.39778178563558875, 2.603488606805387]], [[-1.843200334730517, 2.3061756431348046]], [[1.0380364836528337, -3.0021193053452895]], [[-1.7683845423637048, -2.0244484944702372]], [[1.6206835442336172, -3.649558996225816]], [[0.10468289963996506, 1.5389537792189338]], [[0.8127773047035527, -2.541812851541164]], [[-0.11499395074510739, -0.07632957502153423]], [[-1.8697561248471954, -1.225061494841654]], [[-1.6498687273095913, -1.0527458943532617]], [[-1.9740329558076013, -1.4553185350077857]], [[-0.4505839192423116, -0.017177070874228404]], [[0.5889855563897964, 3.460710519881389]], [[-0.38216206533229163, -0.6366238910534162]], [[-1.8555482490119084, -1.4001552457692867]], [[-1.1080652644952005, -1.8920566714019351]], [[-2.228340268266668, -0.9982623355588535]], [[-2.7065956338390316, -1.541206351199877]], [[0.15526760416015825, -1.1589516517143763]], [[-0.09172831473379883, 3.37993240507753]], [[3.411930588979146, 1.444245394512846]], [[1.1323712788201867, 2.683117619061773]], [[-3.0379567053056893, -2.5720396480915264]], [[1.463049772955269, 2.352793247505336]]]"
8,"[-1.8940840615875585, 0.5981377498959244]",[-467.83852494],[0.47147506],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",207271.27120734492,8,1.7497579325203823,7.390034268877032,[-2.88663302  1.04807323],-468.31,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[2.1774063947270306, -2.8746264304503937]], [[-3.5219045153720026, -4.281337110028764]], [[-0.8217191560442425, -0.5066337618278571]], [[-4.031274331483271, 4.033168980855973]], [[4.093378713154175, -1.1438574990741808]], [[5.0, -5.0]], [[0.7985578062955586, -1.2602612318492656]], [[-2.3408352790987697, -4.377036743708197]], [[-1.5116724482036104, -1.8208792747540903]], [[2.7442085263900227, 0.0629717919505044]], [[-1.1281490876492795, -2.414993846640316]], [[1.6992500050236687, -0.7293989160808781]], [[0.09096290992770847, -1.3698318537950225]], [[0.37189587360014115, 0.29780726528407225]], [[4.3724228910366385, -1.6300469783653435]], [[-1.2021619358589912, 3.7082324977378214]], [[-1.6032480888530545, -4.7561688187199485]], [[-2.1179503495092167, -0.971148921221177]], [[-1.8940840615875585, 0.5981377498959244]], [[-2.178648528736735, -0.9853689279181249]], [[2.7978781718681924, -1.0491136579760498]], [[-1.2076675287487175, 0.9995181061132361]], [[-2.579115960826874, 0.36911139724662323]], [[4.2727730958942365, -0.414735312682613]], [[-0.39361299129809607, -2.3062017312952046]], [[-1.4238758249761634, 0.661710403821314]]]"
9,"[4.063018093212053, 2.988676931003184]",[-60.56136773],[0.05863227],"[array([-1.34472485,  0.22092631]), array([-0.15933919,  0.58006748]), array([-1.67143625, -1.47604456]), array([ 0.97891983, -3.08704658]), array([ 1.88175575, -1.06267647]), array([ 3.82500116, -2.04491453])]",2242.136721085596,9,4.928762649577952,7.408503790418054,[3.78616363 3.53399854],-60.62,"[[[-1.3447248468664363, 0.22092631058663437], [-0.15933919066980984, 0.5800674767297993], [-1.6714362516703147, -1.4760445648229155], [0.9789198298395321, -3.0870465811285186], [1.8817557476502285, -1.0626764681406489], [3.825001155708552, -2.0449145267039834]], [[4.899025889121756, -0.02297950519136016]], [[3.3498042980519553, -0.13383589383571426]], [[0.010372528610936627, -4.543450869529726]], [[-3.4204987118970194, -1.8565599739757475]], [[4.002511347012115, 2.7073805752602613]], [[-1.1522958397300533, -2.2172114694886704]], [[-2.4037456350033097, 0.6794958628393004]], [[4.555841415121202, -3.229957693503603]], [[5.0, 0.19198075587347405]], [[3.8978779262186936, 2.2209764737914917]], [[-1.4074745571836815, -3.2636931484830827]], [[4.063018093212053, 2.988676931003184]], [[4.773017255848872, 2.929534292324938]], [[3.652242403950487, 3.031847199461325]], [[4.517081667748822, 0.3188148726969128]], [[0.5789129573345284, 1.112196410144463]], [[-0.15548595655388903, 1.4909854612174602]], [[0.8440719485633099, 2.03228386688647]], [[0.8192929706704914, 0.29029106378734687]], [[-3.672337229823398, 1.3825867987225975]], [[-2.8042308805573097, 2.030184338468455]], [[4.926258147974654, 0.8598365761821731]], [[-4.300111825868939, 2.3235564881338333]], [[5.0, -1.1929936961136112]], [[-4.6875912347987825, 1.8596251155071215]], [[4.239516552659886, -0.3511873293602402]]]"
