,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-0.6612192984282473, 5.0]",[-130.33449108],[4.79550892],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[8.50541328e-06],0,4.320456467729741,6.540140856297916,[-2.592  -2.6928],-135.13,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[0.15213958542913975, 5.0]], [[1.2733476142443283, -0.48136140173875486]], [[-4.0890473142435875, -5.0]], [[-2.5522386171270837, -5.0]], [[-1.3229677990435669, 5.0]], [[-5.0, -1.2233238255191776]], [[-5.0, -5.0]], [[-4.664610754385902, -2.42713216782468]], [[-0.48464282887349375, -2.0843071275286067]], [[-1.526840329634602, -5.0]], [[0.006200407924509448, -4.73116921630409]], [[-4.45035521152931, -5.0]], [[-0.6612192984282473, 5.0]], [[-4.856442094080664, 5.0]], [[-0.9909307913736716, 2.0338074879185695]], [[-3.345240436479882, -5.0]], [[0.6223997301474091, 0.04661393150186415]], [[0.2996379377801331, -2.5715476460479167]], [[-3.202101421505363, -2.0828050055182796]], [[3.3334102440865774, 1.9864823997212966]], [[2.729923899221884, 1.4909912140330466]], [[1.4237699388040408, 0.24330014959362511]], [[-3.329369198660634, -4.9437284531067895]], [[2.5283473731852766, 3.9367426594008066]], [[0.5910471060700591, -2.2340217892580605]], [[-0.5479433082313845, 0.7231178483765754]]]"
1,"[-0.7737489525571836, -1.2245167686591136]",[150.11613149],[0.96613149],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[5.96208519e-06],1,2.7285673414992,5.4888466271007275,[-0.0552 -0.3708],149.15,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-5.0, -5.0]], [[0.8784857869079392, 3.3636039468741434]], [[-2.466159671940718, -2.8276458070621424]], [[-0.17907635677871736, -1.3827463528177129]], [[-1.2729947700735678, -1.1390414792444596]], [[0.41685321952193727, 4.613589552235839]], [[-3.3719226485289053, 3.716283082854262]], [[2.767690411461615, 4.35707770707718]], [[-1.5866640359951993, -2.8634124714714866]], [[-3.1441961792361446, 5.0]], [[5.0, 0.49330054617872376]], [[-0.6545163062973159, 5.0]], [[-1.4627546155120152, 5.0]], [[-1.0808373805370248, -5.0]], [[-3.6075633554288262, -5.0]], [[3.25302817413727, -5.0]], [[-0.05072384503474368, 5.0]], [[-2.4193080930690942, 5.0]], [[0.6160064627979857, -5.0]], [[-0.05438426585082329, -5.0]], [[-0.27894016797390325, -5.0]], [[-4.5446614745268725, 5.0]], [[1.2096729052732689, 5.0]], [[-4.156380199755519, 5.0]], [[2.318652724045796, 5.0]], [[-0.7737489525571836, -1.2245167686591136]]]"
2,"[-2.285347042372267, 2.5638643800862546]",[-999.37799569],[0.62200431],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[8.93718967e-07],2,0.9572416805804419,7.453620992297844,[-2.8482  1.1766],-1000.0,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-0.24667145052507986, 5.0]], [[-3.828188154796417, -5.0]], [[-0.9937865484004039, -4.77624397703826]], [[-4.601080038973808, -3.4782891990220537]], [[-4.510653259981268, -2.9845634561963243]], [[-2.0710737372647547, -4.181104014456192]], [[-0.9889183761864431, 5.0]], [[-5.0, 5.0]], [[-0.11106730838238496, -5.0]], [[-4.562593768548021, 5.0]], [[-2.2357120330370988, 5.0]], [[-3.336146682731955, 0.11613427581435272]], [[0.3336536751946597, -0.8981486905095423]], [[-2.285347042372267, 2.5638643800862546]], [[2.318082234789496, 4.0163355493358655]], [[2.7703302853347465, -1.137690581235764]], [[-0.9268739598424979, 5.0]], [[-1.1726642460963856, -2.2188499713996657]], [[-0.33590189017224215, 0.4648252490889176]], [[-5.0, 1.3133866471819862]], [[-1.6002265847206276, 5.0]], [[-2.57749595987149, 5.0]], [[0.8858677417994689, 5.0]], [[5.0, 5.0]], [[-3.0830326567533124, -5.0]], [[-4.168369310124633, 5.0]]]"
3,"[-0.20984925473254723, 0.5613253606157098]",[101.66343116],[3.04343116],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[1.26124551e-05],3,2.9749250909597733,5.669237218676949,[-0.8052 -1.1478],98.62,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-5.0, -5.0]], [[-3.582842863796532, -5.0]], [[-0.7801050929001451, 5.0]], [[-1.3034677425592731, -5.0]], [[-1.4394079065676404, 5.0]], [[1.4981325656373041, 1.7750298336250037]], [[0.5283100360541553, 5.0]], [[1.3312058751085731, 5.0]], [[-0.053114602917730985, -5.0]], [[-2.4106498883362084, 1.8488903887839332]], [[0.28756072175983133, -5.0]], [[0.03283619711319126, -0.9761096420476916]], [[-2.2295839335709107, -3.500794807123596]], [[3.839074588836377, 3.410625386565796]], [[0.11680396082181892, 1.8322286345109091]], [[-0.4339803638647659, 1.0228181464225639]], [[-0.0805863101962867, -3.1974872458698433]], [[-3.2819334183446207, -0.17503253273185324]], [[1.600632067621488, -4.106755138379263]], [[-0.20984925473254723, 0.5613253606157098]], [[2.801034792363872, -2.468310403296241]], [[-2.7058399255737977, -1.338182814166006]], [[-2.3487137776145244, 1.8604859490002896]], [[3.8813299425189616, -4.087787384881323]], [[3.820739659865488, -2.393301003819751]], [[-0.3301145094871195, -4.122812475426393]]]"
4,"[-3.7221086650894466, 3.7134646997626093]",[-31.45135788],[15.69864212],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[8.39806755e-05],4,2.709921642455162,5.646478774491188,[-0.3306 -0.801 ],-47.15,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-5.0, 4.222487072055]], [[-0.7658889783885298, 4.465802968605521]], [[-3.9567800233797743, -2.4605395487587574]], [[-1.944898348302162, -0.5065294949569941]], [[-3.3218445655978854, -0.42178574914177797]], [[5.0, 5.0]], [[0.749812692188874, -1.1074476015815349]], [[-1.2754788114577322, -5.0]], [[2.990862920755, 1.0420678054429562]], [[0.03871960822611009, -5.0]], [[1.0681974539422727, 0.1258853847137402]], [[-0.3437499384163495, -4.514136086582166]], [[0.9026137342505243, 5.0]], [[-2.044633037984474, -5.0]], [[-1.6631461391109452, -5.0]], [[-3.232628735387527, 5.0]], [[-1.4354902381447145, 5.0]], [[1.5048766972511585, 5.0]], [[2.478395699452487, 5.0]], [[-2.957463384102736, -5.0]], [[1.983570626764604, 5.0]], [[-5.0, -5.0]], [[0.23770245649184282, 5.0]], [[-0.23353776542559887, 5.0]], [[-0.8217907104892852, -5.0]], [[-2.5078215442878147, -1.9668023977037672]]]"
5,"[3.5124849911060116, 1.0998208417591206]",[38.61137732],[1.09137732],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[5.62868623e-06],5,0.48469106258550304,8.41920258437861,[ 2.49   -1.9692],37.52,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-0.848750977722226, 1.7051883358541637]], [[3.2673880776135706, -3.5559555114093286]], [[-3.2281592337953944, -3.314498151063078]], [[-0.3825974411656093, -2.0150840227618314]], [[3.4084696842854765, 5.0]], [[-1.5674376479000764, 5.0]], [[1.042050107480306, 5.0]], [[0.5606587560457093, -0.8621166657914121]], [[5.0, 5.0]], [[5.0, -5.0]], [[3.5124849911060116, 1.0998208417591206]], [[0.6475619645458881, -0.31876923837068727]], [[-4.365384342534627, -3.552341431209477]], [[-0.24826246946947883, 4.854147803193255]], [[0.7953113859491667, -2.916613480045469]], [[3.4906160099411796, 4.335413553542203]], [[4.895688444020166, -3.4831578847513054]], [[2.448748165605789, -3.912076670113728]], [[-0.6344316207845964, -1.6892656824411114]], [[3.4470232249755437, 4.2695678559259225]], [[4.464705648114531, 5.0]], [[4.113517332035642, 3.212665283395114]], [[-1.0585547978351917, 5.0]], [[2.7905947915673313, -0.7688636170658986]], [[2.7884233176903397, 2.1821834254818793]], [[0.12138662183860892, -5.0]]]"
6,"[-3.7221086650894466, 3.7134646997626093]",[-418.600894],[7.149106],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[1.95374746e-05],6,1.4522932859666502,7.197425014968306,[-1.3248  2.8794],-425.75,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-0.9235443990983699, 5.0]], [[-5.0, -5.0]], [[-3.488216132639394, -5.0]], [[-1.1408224124169084, -5.0]], [[-1.5803690024592867, 5.0]], [[-2.2692044055554383, -5.0]], [[0.6791971363788443, 5.0]], [[-0.6345491872087249, 2.5068586684634058]], [[-3.1617934108577503, 1.347337965543472]], [[0.3714697430207583, -3.639506630669271]], [[-4.250949714853766, 2.6598286471700043]], [[-4.001933820983304, 4.614894037879753]], [[2.8192823630834503, -1.1868361619314212]], [[-4.654559716955791, 1.418888459944489]], [[1.0600345625067142, -2.9001666339029044]], [[-3.079854779159752, 5.0]], [[-2.872595702384749, -5.0]], [[-2.435249483407437, 5.0]], [[5.0, 5.0]], [[-1.7580891020166434, -5.0]], [[-0.23149361328724108, 5.0]], [[-3.471664953420622, 5.0]], [[-1.2400799134586735, 5.0]], [[-0.3334173093035724, -5.0]], [[-4.420056085960852, 5.0]], [[-4.525161092537246, -5.0]]]"
7,"[-1.349697038951964, -1.1350391364892813]",[-218.76952394],[2.13047606],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[1.31186192e-05],7,2.69066156170733,5.4313131141652775,[-0.0522 -0.2904],-220.9,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[-5.0, 5.0]], [[-3.268591340675098, -5.0]], [[-0.9250032311076445, 5.0]], [[-1.2883772796901167, -5.0]], [[-3.3628155369254276, 5.0]], [[-2.3931782297633184, 5.0]], [[1.3915324474330513, 5.0]], [[-0.9721892444349066, -1.1201873675906202]], [[-5.0, -5.0]], [[-1.349697038951964, -1.1350391364892813]], [[1.0183434713545958, 2.4762847410254896]], [[-3.0155703890962666, 2.3507159674115763]], [[-2.2536894698171506, -0.09947402010362894]], [[0.719409757457484, 5.0]], [[-1.6590091703026468, 5.0]], [[0.39770114278868307, -1.7459555897543142]], [[0.08919604125721313, 1.8606275863688726]], [[-4.0934274723250725, -1.5161903801614174]], [[-0.21253204591012614, -5.0]], [[-3.5409943168144475, 5.0]], [[-4.613772117555105, 5.0]], [[2.473140145876265, 2.439190749362245]], [[2.8551528054669792, 2.8353034176601724]], [[1.2152323533780913, -5.0]], [[5.0, 3.1411236739731305]], [[0.8722498608763015, -5.0]]]"
8,"[-2.838184294597083, -2.296869211951595]",[-359.24163276],[0.23836724],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[3.65746822e-07],8,4.164695211506869,6.829190879647632,[-2.9022 -2.4774],-359.48,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[0.006870490290447364, 5.0]], [[-3.6600844408851905, -5.0]], [[-5.0, -5.0]], [[-3.544929185079245, 1.7357472506979592]], [[-5.0, 5.0]], [[-2.434917631446617, -5.0]], [[-0.700929587344607, -4.854875374469797]], [[-1.094031246833139, 5.0]], [[-1.508766296750986, 5.0]], [[3.2144041125275673, 2.840729442322951]], [[-0.10442502428239105, 2.3256519432496274]], [[-5.0, 4.865103760303849]], [[-1.5927416218485808, -3.211749150579967]], [[-2.838184294597083, -2.296869211951595]], [[-4.5403293574640795, -2.295680025023474]], [[-1.17057730792894, 2.33847738428137]], [[-5.0, -1.9401791748402495]], [[-5.0, -3.508471859259471]], [[-2.9453573390763266, -0.12435494192873991]], [[-4.650548754252854, 0.3957828526196013]], [[-0.5429254448925396, 3.748277081061978]], [[-1.17051131100635, -0.23344692906845968]], [[-2.0610293424454187, -0.9946235207185816]], [[-0.6145413043530971, -0.15112799769625365]], [[-3.6218228382939692, 5.0]], [[-2.4924321507176366, 2.0440137309947066]]]"
9,"[3.557961627994185, 5.0]",[34.31574782],[6.83574782],"[array([ 3.90819249, -1.97103823]), array([-3.72210867,  3.7134647 ]), array([-1.98216893,  1.58440121]), array([ 1.66867321, -3.66598349]), array([ 2.03210791, -2.12813476]), array([-2.83802873,  3.57031055])]",[2.75279399e-05],9,4.1991447347634,6.569248765616363,[2.6274 2.0286],27.48,"[[[3.9081924874192757, -1.9710382340998878], [-3.7221086650894466, 3.7134646997626093], [-1.982168931661636, 1.584401206120311], [1.6686732059526879, -3.6659834884852125], [2.0321079060629135, -2.1281347553563226], [-2.8380287336378758, 3.570310547733429]], [[5.0, -3.5580783018234943]], [[0.1947734154366438, 1.6488914428128614]], [[2.932436256746342, 3.5129766668811757]], [[0.4469375996798463, -1.9479363508630791]], [[-0.3718376285894247, -4.2610869883242914]], [[2.9505734462601927, -5.0]], [[1.3672213982639225, 5.0]], [[-4.721245031474317, -1.7696174511929983]], [[-0.8578712810933719, 5.0]], [[2.467922900598976, 5.0]], [[4.698826485102872, 1.8589198351864251]], [[2.049009700073765, 3.519668212617642]], [[2.7170601032150272, 1.8682565709082155]], [[-5.0, -2.195562793765319]], [[-5.0, 3.471799022159277]], [[-5.0, 4.939973168064373]], [[-1.9893483802199143, -2.4646855748992795]], [[-0.052328985885819246, 4.011286405885363]], [[1.2453924581909843, 0.5034947003759329]], [[4.97776353899438, 5.0]], [[-1.4147599191072564, 5.0]], [[3.557961627994185, 5.0]], [[4.118668845835565, 5.0]], [[0.7054175529078064, 5.0]], [[3.3836180650732453, -0.6873794742701721]], [[-2.371933243661603, 5.0]]]"
