,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.9400722977264047, -0.8659094753765887]",[-133.74409254],[1.38590746],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[2.47198115e-06],0,0.5363704087705062,6.407102831124004,[-2.592  -2.6928],-135.13,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[0.11662623225638391, 4.342790964745203]], [[-2.7088244489237296, -1.965695174790664]], [[-1.5229311580204978, 2.401612084108047]], [[5.0, -3.754898383606612]], [[-5.0, 0.2913143605425772]], [[1.8824417782093406, -3.0495371443154675]], [[-4.633813432598011, -4.906962123909751]], [[-0.3479535996495506, 2.0347350000583315]], [[-4.554276138289098, 0.4126023633010482]], [[-1.9400722977264047, -0.8659094753765887]], [[3.658298074992068, -0.881740118074853]], [[-1.124645277685112, -5.0]], [[-3.7841753491393253, -5.0]], [[-4.2081738865543965, -2.279557014206052]], [[-4.311677249439852, -5.0]], [[-0.3197001842466761, 5.0]], [[0.7164148379822722, -5.0]], [[-3.8581475425962277, 5.0]], [[-0.08697938931191164, 5.0]], [[-2.0739490920618704, 5.0]], [[2.293393631772494, -0.2976744284766131]], [[-2.359787646334823, -4.547853260087556]], [[-4.359469992043142, -4.5234118483398245]], [[-5.0, -2.3861353274968176]], [[-4.6558489999247605, -0.4328395849409725]], [[0.10305198498277246, -0.02132471038187589]]]"
1,"[-0.12153843426214442, -0.49498820683618605]",[149.15607186],[0.00607186],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[3.78087594e-08],1,2.7864317446129943,4.020312294136751,[-0.0552 -0.3708],149.15,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[-4.009228098227127, 5.0]], [[0.649130025960726, -5.0]], [[-3.553298118946145, 5.0]], [[-1.5196751238814745, 5.0]], [[0.9546466743323453, 5.0]], [[-2.908144910564032, 5.0]], [[-1.262298292116563, -5.0]], [[-4.586652655342478, -4.578508534709123]], [[0.5398015841141419, 1.273840005696544]], [[-1.855106597776143, -0.6640932302883046]], [[-0.41239761610068104, -1.1117951079836488]], [[1.5576083333200568, 5.0]], [[-0.12153843426214442, -0.49498820683618605]], [[-2.545838778912057, 0.8023709783927275]], [[4.648285797088441, 0.15608155790368805]], [[-1.2158880588050403, -1.2816044607263883]], [[1.6284820591032076, -0.09893409255933783]], [[3.050626686269517, -2.3992649870823026]], [[-4.358626201781922, 4.249963435546341]], [[-2.305408789931971, -3.8845637892156635]], [[1.2508203065035302, 4.004288702937771]], [[4.5779539231934905, -1.911627276193867]], [[-0.8316792563448927, -3.6976588028778132]], [[-3.738473209487892, -3.010307250578498]], [[-4.318475593172516, 0.034009582014733475]], [[-0.2772087535717053, -0.16865098452952643]]]"
2,"[-2.45402177063207, 2.3559369212770642]",[-994.2936997],[5.7063003],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[8.24137502e-06],2,1.0969032627853497,5.724882915060617,[-2.8482  1.1766],-1000.0,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[-0.5445400726834551, 3.035985813355913]], [[2.917476372221531, 2.0761281182963844]], [[2.867369108431554, -1.0498035926923088]], [[-1.5790480667765863, -0.5045062471386103]], [[-4.149446551900918, 4.728672684754926]], [[-4.322424043761519, 0.6112846594930639]], [[-0.6770510012274435, -0.5324856728917382]], [[-5.0, 3.3232896807969943]], [[3.0689918966694956, 0.44748757288093577]], [[3.4748094629596538, 0.7267029344178263]], [[-4.873989564391478, 3.97217031813361]], [[-2.671639289508306, 3.1328720617546586]], [[-1.4481012103708828, 0.9216650738789482]], [[-4.533692674437973, 0.4640890662395805]], [[0.4659649671679558, 5.0]], [[5.0, 5.0]], [[-3.677171598722553, -5.0]], [[0.4344782264460668, -5.0]], [[-1.792657038408291, 5.0]], [[-2.9077850991343475, 5.0]], [[-2.2315851584624253, 5.0]], [[-4.41487660666677, -5.0]], [[-3.33014951363693, -0.3441787015835068]], [[-2.45402177063207, 2.3559369212770642]], [[-4.939469556370427, 2.9412944808226116]], [[0.8606282994656673, 5.0]]]"
3,"[-0.3368939331458468, -0.10010659506506098]",[100.01066873],[1.39066873],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[5.80795415e-06],3,2.154215528870239,4.177356427806293,[-0.8052 -1.1478],98.62,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[0.40989217585710624, 0.45983666783114124]], [[-0.10126760938408103, -5.0]], [[5.0, -5.0]], [[-1.4809674506229746, 5.0]], [[-5.0, 5.0]], [[0.8212057312855416, 5.0]], [[-0.029112605197445723, 5.0]], [[-4.324716766740331, -5.0]], [[0.9261278974819361, -5.0]], [[1.9436053058651406, 5.0]], [[-2.726327345424433, 5.0]], [[-5.0, -5.0]], [[-4.279212929654597, 5.0]], [[-1.3002348709971083, -5.0]], [[-3.1086349898313026, -5.0]], [[-1.7044794285039842, -1.7649647633951715]], [[-3.8940657176121287, 1.7569830534908786]], [[-0.3368939331458468, -0.10010659506506098]], [[-3.6128506815912433, 1.4585475415874738]], [[-4.206127536585963, -0.311853757385653]], [[4.703661031769528, -0.27010919100335506]], [[3.845804032964935, -4.22462728123384]], [[-1.3658132651006936, 2.4031058359827107]], [[0.11554373545385932, -1.6828150528127486]], [[-0.37526476147985827, 0.2780417273478222]], [[-4.693370276717223, 5.0]]]"
4,"[-1.3204780108391494, -1.487175529311385]",[-36.32799119],[10.82200881],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[5.83890372e-05],4,2.607711229616696,4.121683149983272,[-0.3306 -0.801 ],-47.15,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[-2.0246240589839406, 1.5325553524857902]], [[-1.3717473066241923, 3.448706977482683]], [[-2.8790475751346425, -0.7673019939414845]], [[0.56788837029548, 3.093902637812876]], [[-5.0, -5.0]], [[0.8840522275619889, -5.0]], [[1.037484139469937, 5.0]], [[-0.9038813137442586, -3.2734342518928314]], [[-1.3204780108391494, -1.487175529311385]], [[5.0, 5.0]], [[2.8965516228103563, 0.7035374165161052]], [[5.0, -2.770460895754825]], [[-5.0, 4.42779348109763]], [[2.285156344672737, -2.074297377929985]], [[0.3721746998048772, 1.9905329143927741]], [[-2.316396300512317, 3.8495294575631096]], [[4.293987489035426, 5.0]], [[-4.469589365232153, 5.0]], [[1.1453208571442577, -0.45322800423556625]], [[-4.71854821690973, 5.0]], [[0.4317309588157982, -4.702051307488471]], [[2.5034901062113066, 5.0]], [[-0.30608623452659917, -1.4154293207524913]], [[3.693018747072147, 5.0]], [[-3.8731879377432072, 3.8457406750864167]], [[-4.107356971536209, -3.022162518432451]]]"
5,"[2.1341703397344656, -2.4426171529484955]",[38.89268285],[1.37268285],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[7.06447625e-06],5,1.8389644152978653,7.00733820608313,[ 2.49   -1.9692],37.52,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[1.118328207321734, 2.369319503979951]], [[-0.2205097432682342, 5.0]], [[0.4275842688822503, -4.684427689603868]], [[2.3282589576268604, -4.959616333220493]], [[-0.1919867786601484, -0.5454735721689414]], [[5.0, 5.0]], [[5.0, -3.661031803746829]], [[1.5669921566421583, -2.524985032972997]], [[1.4959673057492797, -5.0]], [[3.808035234800593, 4.194799110721516]], [[2.4285319431578922, 1.9566916080373187]], [[2.1341703397344656, -2.4426171529484955]], [[2.6589583240777004, -1.8212096198356449]], [[0.610388984860919, -2.000330583201395]], [[-0.46067183466333167, 1.354914294668846]], [[5.0, 1.6442770813698493]], [[-3.154386407282842, 4.680725029395292]], [[-4.794300460652345, -2.5891735122466306]], [[-0.8381740299368676, -0.8396985171027378]], [[1.604008474984969, 1.5597641365997692]], [[-0.6933832122268876, -3.414207658214981]], [[-0.8144564012199149, -5.0]], [[3.373065330794058, 5.0]], [[1.9408826456700856, 1.2438836304326308]], [[3.3139864955229577, -1.2306405715737165]], [[3.3162722365435418, 1.4749621887059616]]]"
6,"[-2.1284704111667105, 1.905683133895645]",[-425.08907778],[0.66092222],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[1.8179758e-06],6,0.5815401589398073,6.218110835887987,[-1.3248  2.8794],-425.75,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[-0.27076626815536675, -5.0]], [[-5.0, -5.0]], [[4.224431430667693, 3.0577510246293667]], [[-4.279357177108971, 1.8364040824102208]], [[-0.5449808714616107, 5.0]], [[0.6111065313360221, -0.6482668304857762]], [[0.35269934841676975, 4.8050815397491355]], [[0.4760610233515594, 1.464029949569012]], [[-2.1284704111667105, 1.905683133895645]], [[-5.0, 5.0]], [[-3.530358154105654, 1.8794115485980223]], [[0.6197246839765347, -3.833385105688997]], [[4.492015895359845, -2.273499348790473]], [[1.1059172584100132, -0.3395208756634229]], [[-0.7857522077827079, 3.091835539476056]], [[-4.651040239630916, 5.0]], [[-0.4986723058732022, 2.95543021901646]], [[-4.308409111424691, -4.93301346255586]], [[-1.5987688602545411, -3.1889851552874564]], [[0.9915617488353358, 3.1683997024307495]], [[-4.942826661749396, -1.6035141991234116]], [[-1.1846487872489153, -0.2663627571439753]], [[-2.02867657861642, 5.0]], [[-4.441164515349229, 4.048439034712224]], [[-2.5449578665832044, 0.8206804307091375]], [[-4.029305404117074, -1.670069174020894]]]"
7,"[-0.5299398847977866, -1.168980473825661]",[-218.38150303],[2.51849697],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[1.56479206e-05],7,2.778073543293511,3.9708509815855555,[-0.0522 -0.2904],-220.9,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[-4.472933541562254, -1.6041619702678878]], [[-0.9353363772131971, -3.5968690343903265]], [[-2.2993684000648122, 1.7328535385574135]], [[-4.128947472773907, -4.201695863331635]], [[1.898261969489401, 3.6249652031590904]], [[0.4990942093021076, -1.4542217430656519]], [[1.5856062839712737, -2.339247756631643]], [[0.11937637738602398, -1.0452556396815722]], [[-3.5588680487303095, 5.0]], [[1.3331021258336642, 5.0]], [[-0.2496140622897134, -5.0]], [[-0.9667929382963768, -0.9601381840524087]], [[-0.5299398847977866, -1.168980473825661]], [[-2.372792404779724, 0.035168935741831164]], [[5.0, 5.0]], [[5.0, 3.3243833173419324]], [[-4.785010644252534, -4.3414305131049975]], [[-5.0, 5.0]], [[0.9250115832370908, 3.1448106565039766]], [[-3.455015964152683, 4.275738630649546]], [[4.324165029103879, -3.502648999007285]], [[-0.875096765212708, 1.2974425949512138]], [[-4.170683277140927, 5.0]], [[-2.6309522271856602, 5.0]], [[-1.7192192913680795, -2.45218305052412]], [[-1.5621295969230877, 5.0]]]"
8,"[-2.774707075542671, -2.289216460436782]",[-358.7739031],[0.7060969],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[1.08922509e-06],8,0.8405671748568767,6.434296910863406,[-2.9022 -2.4774],-359.48,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[4.277042012141996, -3.477934431205515]], [[-2.7336087172549526, -0.8494061592217056]], [[0.313438369824338, -2.065123352784098]], [[2.054938096287228, -0.453438865204491]], [[-5.0, 1.7236045632280248]], [[0.6721213770203374, 4.074293076272449]], [[-4.794269850959422, 2.73071087186691]], [[4.7603177248055, 3.5086556977920846]], [[-5.0, -5.0]], [[-5.0, -3.024426525536418]], [[-2.774707075542671, -2.289216460436782]], [[-4.404810322641598, -3.4934205657377793]], [[-0.429019241227772, 5.0]], [[-3.7267629455857745, -5.0]], [[0.49886581670330343, 3.4791351497509613]], [[0.2823246633612033, 0.30562736957389447]], [[0.38198295439647545, -3.1627262204749296]], [[-1.4201377308062295, 5.0]], [[-0.6528806767036919, 4.4834780258838585]], [[0.6801990944981604, 3.4417790533149812]], [[2.662908233508684, -4.503358742120485]], [[-1.3002440375566393, -2.1288330446926818]], [[-1.6206941706481692, 4.1068744915877]], [[-4.091293277193061, -4.155742259111678]], [[-4.62159821458, -0.6036375477504174]], [[3.789993162364425, 1.9610553730036226]]]"
9,"[2.0920363765848724, 1.2610915025260594]",[27.79418528],[0.31418528],"[array([-3.11112223,  2.2415266 ]), array([ 2.72206261, -0.14493657]), array([-2.51537093, -3.22366835]), array([-2.93794932, -0.84444397]), array([-0.7629226 ,  3.02934249]), array([1.28372699, 2.40913169])]",[1.26287022e-06],9,1.3965176466393823,7.35081053956311,[2.6274 2.0286],27.48,"[[[-3.1111222275187695, 2.241526603191842], [2.722062605089927, -0.14493656835129842], [-2.5153709273922815, -3.2236683458598008], [-2.9379493203967493, -0.8444439696118016], [-0.7629226046474062, 3.0293424858121316], [1.2837269865933905, 2.4091316943672374]], [[1.0059826177987228, -1.3157046331854296]], [[2.204084955180894, -4.711462996050083]], [[-1.3279009585924737, -0.2742173694768243]], [[5.0, -5.0]], [[2.5577538194564124, 5.0]], [[-0.028387586543079827, 0.4578270618210891]], [[2.0920363765848724, 1.2610915025260594]], [[3.9639441911090243, 5.0]], [[-0.29281772079469953, 5.0]], [[3.5249105924258686, 5.0]], [[0.16641282884131575, 3.4830385247524673]], [[3.439631488891706, 3.3049428416473496]], [[-4.298302553870517, -1.8148005053944827]], [[1.730897277594019, -3.96356484148476]], [[-1.8149451655875735, -4.327124665602845]], [[4.357289402174237, -4.354915179269281]], [[0.46084704789436426, -1.6727882148004238]], [[3.7594778732646112, -5.0]], [[1.8614129836628128, 5.0]], [[-5.0, 5.0]], [[-3.66938273179748, -5.0]], [[1.2621786703819167, -5.0]], [[-0.5453817341952201, -5.0]], [[0.7996040634024503, 5.0]], [[0.9854007917799597, 5.0]], [[-2.141335952515575, 5.0]]]"
