,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.182990361403816, -1.6487059082408981]",[-134.61713256],[0.51286744],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",22378228676.81208,0,1.121348008831712,8.637953707496266,[-2.592  -2.6928],-135.13,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[1.1623729544290398, 1.5136522458699522]], [[-5.0, 5.0]], [[-4.227911115399571, 5.0]], [[-1.5899595000963134, -5.0]], [[-4.702188210272969, -2.06911047627448]], [[-2.787022513854193, -4.064770071859499]], [[-0.4179514552148571, -3.203289297425557]], [[-5.0, -5.0]], [[-5.0, 0.7918227129600658]], [[-2.4922764406731743, -2.8319443465744305]], [[-3.087257673759054, -2.1015062413843353]], [[-3.781715321441414, -5.0]], [[-0.1710255640908501, 5.0]], [[-1.5724957259645629, 5.0]], [[-0.5393711723281444, 5.0]], [[-3.1884595735164765, 0.31805748461096434]], [[-4.204937398292762, -3.6551873974101117]], [[2.9758104336231908, -0.45604969104575677]], [[0.2858966303076365, 5.0]], [[0.277749589458479, -5.0]], [[-2.5568336700801058, 5.0]], [[-3.7712486338796096, 0.31238362446776735]], [[-1.0169948535428597, -5.0]], [[-1.4709894173910383, 0.023332526830826743]], [[-2.0508705491454617, 5.0]], [[-4.685254951341387, 4.753559090075793]]]"
1,"[1.435119330163871, 4.938051491471536]",[152.51940238],[3.36940238],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",1143926796.616621,1,2.2049084489665853,5.3103298497413105,[-0.0552 -0.3708],149.15,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-1.904202966230062, 2.778204468228397]], [[-4.224979046471846, -3.3439998537153084]], [[0.5917908802136235, -5.0]], [[-2.491698751687311, -5.0]], [[-0.35601590487160617, 4.82172809941377]], [[1.243872082373966, -4.639566468090516]], [[3.0984504722731017, 5.0]], [[0.8605106217797479, 5.0]], [[-3.519663029843047, 5.0]], [[-0.6048545255416783, -5.0]], [[0.9033073195044515, -5.0]], [[3.896253845764717, -5.0]], [[-2.991128477152897, 2.448758136806689]], [[1.7332349634432092, 0.2428017013224275]], [[-3.804181220142419, -0.7027624874161577]], [[2.211077362956399, 5.0]], [[-1.506704193985604, -4.10437041661595]], [[1.4328348108781326, 5.0]], [[-3.3134562289111673, 3.125573644197313]], [[-0.5889165180072339, -0.8619630098148736]], [[-2.4794644340065735, 0.9550054189059207]], [[0.8354246162885808, 0.4829424376184219]], [[-4.200812702519089, 2.047019811281152]], [[3.3363851295755467, -4.319966060413066]], [[1.435119330163871, 4.938051491471536]], [[1.8116481059933225, 2.149726338408123]]]"
2,"[-1.6811239489764724, 5.0]",[-997.02042292],[2.97957708],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",37321012546.83414,2,2.9025604797182427,7.760976873138239,[-2.8482  1.1766],-1000.0,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[1.0497020173085092, 3.97879608956012]], [[1.9286384600362858, 0.4178895837405916]], [[-4.668785937511704, -2.3358275924620515]], [[-5.0, 5.0]], [[-2.877716599502952, 5.0]], [[-1.6811239489764724, 5.0]], [[-4.278624990573137, 5.0]], [[-3.469196100052847, -5.0]], [[-1.347465900218339, 5.0]], [[3.2391217312905525, 1.4798654683495904]], [[-1.6440448908438063, -1.7108703715639215]], [[-3.3763889670541767, -1.8244245195752817]], [[5.0, 4.89334244118888]], [[-3.8892706029377186, -4.919365454596918]], [[-4.660546115170563, 0.2290562858428972]], [[-2.936424002212991, -3.610851323304985]], [[-1.1561104079414388, 5.0]], [[-2.5062975488422956, -3.697102982113197]], [[-0.22030865925118273, -2.45417362666314]], [[-4.792891622562126, 2.69668837396475]], [[-1.933610672173304, 5.0]], [[1.4406080408364985, -1.905680708586135]], [[-1.1849823798704915, -5.0]], [[3.8527750907831084, 0.8087472681458845]], [[4.795837608009602, 4.906610072913221]], [[-0.5221426477468074, 5.0]]]"
3,"[-1.4947844491508109, -1.8305030501842874]",[103.97693688],[5.35693688],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",2756458930.6203947,3,1.466019443557246,6.322840895408306,[-0.8052 -1.1478],98.62,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-2.3544912593592753, -1.613709638767807]], [[0.5070391987124334, 3.815302005475784]], [[-3.3961615231821476, -4.465838416571842]], [[-0.7267905211206139, 1.5654911353686563]], [[-4.129443430425514, -4.543971319353669]], [[-0.14309284486920862, 1.0525946503416963]], [[-2.8981377541940994, 3.283493393790711]], [[-0.4218568367039758, -3.7720078972748454]], [[3.843164657178993, 4.660395013334795]], [[-0.7532803557698444, 3.500779330876615]], [[-0.8785416974613004, -3.963422382881259]], [[4.840034788708972, -3.5179596750937976]], [[-0.9585770552646744, 0.9068874572118767]], [[4.327475883940761, -3.8568777310785105]], [[-1.949428847211894, -3.7260302284471525]], [[-2.774510891709501, -2.3551465412209844]], [[1.8566865980207958, 5.0]], [[-4.6040708830288954, 5.0]], [[-1.36102407924965, -4.549973480202441]], [[-1.4947844491508109, -1.8305030501842874]], [[-4.324957422799807, 5.0]], [[1.4678801443844331, 3.108889097312955]], [[-4.4576396285522835, -3.497106152109133]], [[0.6775322295623127, -5.0]], [[0.1707134588847285, -4.651916320739494]], [[-3.1079819988974875, -4.873133635240161]]]"
4,"[0.20251078726586957, 0.5275712201635624]",[-46.81801801],[0.33198199],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",1552391828.1965888,4,2.037143921741487,5.742518472496754,[-0.3306 -0.801 ],-47.15,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-3.091337098568404, 5.0]], [[0.4161595966813065, -5.0]], [[-2.79452611537473, -5.0]], [[-2.2578042408132126, 5.0]], [[1.2037481179409506, 5.0]], [[-3.7696324397378276, -5.0]], [[-1.603665498078384, -5.0]], [[-0.3242862659041764, 5.0]], [[1.2463660891543786, -5.0]], [[0.8035349374495977, 5.0]], [[-0.3921637981278226, -0.9826533225879402]], [[-4.20460185191226, 5.0]], [[0.20251078726586957, 0.5275712201635624]], [[-1.8706521462611492, -1.610008738633673]], [[-3.890899305528683, 5.0]], [[-2.987665033789393, 0.8614707125374562]], [[1.1103693772139502, 5.0]], [[0.19630134654278047, 2.421620399750083]], [[-0.8242522648085547, -1.8293060832681727]], [[-4.543532256352036, -0.0992641838419757]], [[-1.392144353556994, 0.6944752160164145]], [[-3.861617095786061, 3.62222887005051]], [[1.003791933036945, 3.811386618055642]], [[-2.6313952074411295, -0.2757756670377825]], [[1.21045301839206, -1.3405462928620073]], [[-1.176291395451591, -4.4951740238347435]]]"
5,"[3.862800413472757, 2.471367579426913]",[42.99993632],[5.47993632],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",1663573216.0557804,5,2.758091220172293,7.27909596251284,[ 2.49   -1.9692],37.52,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[1.8819162603838056, 3.1532538682897666]], [[-0.8687728548236787, -1.3193160025645363]], [[2.138235721089672, -1.233511820851735]], [[0.9233523534609266, -1.7844212579675462]], [[0.8276438228559291, -3.9630424401566917]], [[5.0, -5.0]], [[4.2124791502181145, 5.0]], [[5.0, 5.0]], [[-5.0, 4.530793768766086]], [[4.605996138928985, 0.4074055052672847]], [[-2.1605086123420927, 2.147574768246022]], [[2.970881605594469, 0.3309696798497477]], [[-0.1811468829037164, -3.875337253119393]], [[4.387460491920853, 0.8419002979153811]], [[-1.4313945966441661, 5.0]], [[-0.8710770823573597, -3.379454861435703]], [[3.715521988513512, -1.188230177105769]], [[3.5716735291086605, -2.240742140396261]], [[1.5546181255172473, 1.7245093249913361]], [[-0.39918755100100034, 3.992669055050637]], [[-1.1801987250642247, 5.0]], [[-0.48049901855980937, 0.742466436566695]], [[3.862800413472757, 2.471367579426913]], [[-5.0, 3.8467676474455277]], [[0.5182238532349609, -0.22025894220205727]], [[0.758535362267967, -5.0]]]"
6,"[-0.535154846965684, 5.0]",[-424.45028696],[1.29971304],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",8139875585.237376,6,1.1869847023976898,8.373119220064494,[-1.3248  2.8794],-425.75,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-3.399009460193203, -2.0431891118725867]], [[-2.4715867744722253, -4.6055668923508]], [[-1.4937448477238966, 3.634210561477238]], [[-0.3026152971651865, -5.0]], [[-5.0, 5.0]], [[-0.13507982666513668, 5.0]], [[-5.0, -3.8985963775572006]], [[-5.0, 0.8774723929408684]], [[-4.381472750425691, 1.480917819662399]], [[5.0, 4.915140561985133]], [[-4.299964308585404, -2.140128742130051]], [[1.3769152510080938, -4.512188191269123]], [[-0.535154846965684, 5.0]], [[-2.608455712568588, 5.0]], [[-3.50359478485666, 5.0]], [[0.4711961200992508, -3.8564011735143646]], [[-1.378843633732222, -5.0]], [[0.5047093120506558, 5.0]], [[-3.927771384619363, 5.0]], [[-1.2487697711975712, 0.8624122738961035]], [[-2.4673652645832, 1.6930472343618055]], [[-2.882167947803506, -0.3300359717002488]], [[-2.219316971765681, -1.591900355628377]], [[-3.900264442040883, -3.5764761141370838]], [[-3.1713519200739038, 5.0]], [[-4.756522557717215, 4.285064910640429]]]"
7,"[0.0003555637107065822, 0.06158234777169406]",[-214.93831103],[5.96168897],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",1060571667.3454332,7,2.133060595675135,5.275733026086182,[-0.0522 -0.2904],-220.9,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[1.1158258769890446, 1.520046456750179]], [[-1.8382139429928774, 0.29394039502545194]], [[-1.2650026992247678, 0.9792943876053002]], [[-3.780601368246171, -5.0]], [[-1.5509667296302576, -5.0]], [[3.8029245190030307, -5.0]], [[-3.035783712313243, 5.0]], [[-3.2861050391706397, 0.23879984015169733]], [[-2.0061139697856447, -4.061111999255985]], [[-3.5130319985660754, -1.3615375107851941]], [[0.9274607106245163, -1.8426670161515224]], [[-2.1604792987182675, 5.0]], [[1.5355456434765251, 5.0]], [[-0.1910318718637606, -5.0]], [[0.20280470995898944, 5.0]], [[-3.582781611065649, 5.0]], [[1.1796844866151146, 5.0]], [[0.3868285428482478, -0.2465969630313924]], [[-0.8569935173815132, -5.0]], [[-2.681819099791064, 0.3516503879887493]], [[-0.30957618993160274, -0.16210859220523974]], [[-4.133329877833092, 5.0]], [[0.0003555637107065822, 0.06158234777169406]], [[0.8162176140327618, -3.8345901289500293]], [[-1.8658647683853453, -0.8392146381869414]], [[-3.4076120048479677, 3.5388169309810493]]]"
8,"[-4.777004837721078, -2.3885789694407245]",[-345.49745372],[13.98254628],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",31359193960.855396,8,1.097267698406408,8.7992104993726,[-2.9022 -2.4774],-359.48,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-3.8074952857651323, -4.377577287848616]], [[-0.712640618786837, -5.0]], [[-3.914138633812821, 2.139535847627279]], [[-4.670508412900039, -1.5088106332268614]], [[-0.8304696861979078, -4.358364964113922]], [[-1.565400017467859, 5.0]], [[-2.9721170380674464, -5.0]], [[-5.0, 5.0]], [[-2.4492890191736887, -5.0]], [[0.13205989126838155, 5.0]], [[-1.2372220567904573, 5.0]], [[3.2712510108357122, 1.2088703343544072]], [[0.5677287802893869, 5.0]], [[-3.461752980644046, 5.0]], [[2.70753865449891, 1.1461212895662791]], [[-1.1572210472282645, 0.5362210208642046]], [[-5.0, 2.2422749049517336]], [[-5.0, -5.0]], [[-2.7206258380462462, 0.11426224438451152]], [[5.0, -5.0]], [[-0.5634163874048984, 2.5975149780537756]], [[-3.7038997354356495, -1.3827185543036473]], [[-2.8074914987237656, -3.7761276997972613]], [[4.024680297351375, -5.0]], [[1.654259813133252, -5.0]], [[3.6618650664021795, 5.0]]]"
9,"[1.9689501225901207, 1.1617562144438836]",[27.94078034],[0.46078034],"[array([-4.77700484, -2.38857897]), array([-0.93605548,  4.00092146]), array([0.9938054 , 1.56858365]), array([4.80638493, 1.7656913 ]), array([ 2.20642269, -4.71267427]), array([-2.18299036, -1.64870591])]",3171235959.1741643,9,1.6971288608328907,8.621872247310135,[2.6274 2.0286],27.48,"[[[-4.777004837721078, -2.3885789694407245], [-0.9360554767690186, 4.000921457389046], [0.9938053963195603, 1.5685836512708553], [4.806384930962915, 1.7656912993241693], [2.206422691892035, -4.712674273456511], [-2.182990361403816, -1.6487059082408981]], [[-3.3047561477503438, -0.45515489454425495]], [[3.411406532062296, 1.3394573146821331]], [[-1.3519611559030862, -1.213726656575916]], [[-3.4608002076927034, 4.5827383852532995]], [[2.201252643371867, -4.199680908941941]], [[-1.7755339061818631, 3.48435197555837]], [[3.1596628531846562, 0.4439202711944294]], [[4.717537525418069, -4.4495745741690165]], [[-1.0778426812924593, 2.8123694857582935]], [[-5.0, -4.431262913342051]], [[5.0, 5.0]], [[1.6075664898200583, 5.0]], [[0.5186921643268959, -5.0]], [[0.7705777791817027, 5.0]], [[4.0326432924905316, 5.0]], [[2.8250655157597753, 5.0]], [[2.258250548446938, 5.0]], [[-0.5226062695901715, -5.0]], [[1.5144635330414846, -3.4288801024384603]], [[1.9689501225901207, 1.1617562144438836]], [[4.535088661711729, 5.0]], [[5.0, -1.9628477942095626]], [[0.12166154746729242, 5.0]], [[-4.004600861504997, 5.0]], [[0.05583810742771879, -5.0]], [[3.7684755403931853, -5.0]]]"
