,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.235452431378386, 1.7626997753114302]",[-132.33296864],[2.79703136],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[4.96087236e-06],0,1.730554538747779,6.985216925341154,[-2.592  -2.6928],-135.13,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-1.0019903716128433, -5.0]], [[0.9392322525745644, -5.0]], [[-2.3932775194669347, 0.45203863154122836]], [[-0.6553772255406036, 5.0]], [[-5.0, -2.840675049116911]], [[-1.235452431378386, 1.7626997753114302]], [[-1.368294421339531, -0.458575167185631]], [[-0.1877029431436426, 5.0]], [[-4.503912458105036, 4.871442089608472]], [[-5.0, -4.999999979634644]], [[-2.041080167786265, 3.32523851351324]], [[-3.187961543022111, -0.1801596781600665]], [[-2.582606085435004, -1.2840816116934017]], [[-3.57674735268065, -1.8473549389947417]], [[4.694251421042733, -4.991685259248274]], [[-3.8399831855014233, 2.5772886033213496]], [[-3.0113222452963684, -0.541523713269827]], [[2.620105362934061, 1.6335607876362346]], [[-2.569418812579205, 2.95599788513867]], [[-3.6423185514002676, -3.5149227899206323]], [[-3.9706358005882727, 4.912235128496313]], [[-1.933821206276265, -3.0164302165049293]], [[0.0035788772321975896, -3.9176869549898297]], [[0.6937116107422625, 3.385679550151652]], [[-4.516549257133978, -3.9542706756127504]], [[1.4625582143261542, 4.14581596230061]]]"
1,"[-1.3834788993604206, -1.2885661419067982]",[150.97951915],[1.82951915],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[1.12901288e-05],1,1.7524851912999333,5.479283429104825,[-0.0552 -0.3708],149.15,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-1.3834788993604206, -1.2885661419067982]], [[0.15922750384900344, -5.0]], [[-1.5672138926398005, 5.0]], [[-2.5906682979039855, -3.8577223615209064]], [[3.4038958556789094, 3.4479697167406327]], [[-3.985101816821405, -4.729819482395202]], [[0.3645689561954766, -4.711458420465007]], [[1.8583281077714586, 5.0]], [[0.2608823532461824, 2.670797096870375]], [[0.9116949386229514, 2.2913425252617934]], [[5.0, 5.0]], [[-0.08615984156792855, -1.2736120562556374]], [[0.01633789039187672, 0.4507841360838194]], [[3.0993589766293645, -1.8793094093130192]], [[-4.322690219374923, 1.2386729333415722]], [[-0.5706382682464923, 2.5651759145344757]], [[0.2583122111027505, -3.4573997634420586]], [[1.852123092274027, 2.89473262041551]], [[2.3123734851042403, 5.0]], [[-2.0755809324470897, 0.07893501370705014]], [[2.6663945001500933, -4.9534880311415685]], [[3.956273375751648, -4.243434447420185]], [[3.124889557731624, -3.07272983009986]], [[-2.5871971994204057, 3.0602214698250885]], [[1.3364282023789074, 5.0]], [[-3.3217092044998817, 0.5143518861374821]]]"
2,"[-2.885388442239319, 1.2562335442430215]",[-997.66910322],[2.33089678],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[3.34911933e-06],2,0.9170455837239245,8.42858259757683,[-2.8482  1.1766],-1000.0,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-3.340167434550785, -5.0]], [[1.4637452876875043, -1.5597386230847077]], [[-5.0, 5.0]], [[-4.567127680565636, 5.0]], [[-5.0, 4.9236290860783685]], [[5.0, -0.4842614750906144]], [[-5.0, 0.9667422071807485]], [[-5.0, -5.0]], [[-0.38759584525234964, -5.0]], [[-4.49343668241253, -2.692985926484757]], [[-1.1913545142016002, 5.0]], [[-1.4599692549212069, 2.6396434501866604]], [[2.4609530537739817, 1.7380624301567753]], [[-2.8307937554884117, 2.4135914890786148]], [[0.6259114770539803, -4.808634184209549]], [[1.9469063026847069, 2.796253651562351]], [[3.5617210900090406, -3.3309059750510652]], [[-4.730333591668987, 0.6207584886315295]], [[-3.0452518430230784, 3.202995521580141]], [[-1.4406366710558318, 0.7803427803018282]], [[-5.0, -1.7808283800697624]], [[-0.2822189327633688, 4.044818469290331]], [[-1.1978382982026041, -2.237043044097071]], [[-2.885388442239319, 1.2562335442430215]], [[-5.0, -0.6021867874408273]], [[-5.0, -3.8784023085330963]]]"
3,"[-2.5845552683232818, -1.3301954532924931]",[106.2049259],[7.5849259],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[3.14331203e-05],3,0.7372512791899328,5.651864212242161,[-0.8052 -1.1478],98.62,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-4.960692943268123, 3.5909810019606128]], [[-0.4789403614266468, -5.0]], [[1.0937971782415963, 2.173854303984005]], [[-1.4726811855109112, 5.0]], [[-3.803595080811344, -5.0]], [[-2.078796293970486, -5.0]], [[1.0476775986931104, 5.0]], [[-3.109602088111513, 5.0]], [[0.6777166141094971, -5.0]], [[-1.6746552463990467, -5.0]], [[-0.1080451191154056, 5.0]], [[-1.1190661061813207, -5.0]], [[-4.546296646087314, 5.0]], [[1.8070484785878438, 5.0]], [[-4.742841711053728, -5.0]], [[-0.16999079805110084, -3.3031530664618174]], [[-3.35597569409293, -2.3901508452018625]], [[0.8288880758946939, -0.8647847025449815]], [[-2.324797209466479, -2.894050730266045]], [[-4.230012298438063, 0.70908671457961]], [[0.7968363997042739, 3.965306678421216]], [[-1.2920892446516672, 1.6750999008587313]], [[-2.5845552683232818, -1.3301954532924931]], [[-1.9887042782548967, 4.769424131556409]], [[-2.295928328005233, -2.7642017024875805]], [[-2.788160448107148, -3.936768776769409]]]"
4,"[-0.2113521412319985, -0.43774733413797334]",[-45.9139394],[1.2360606],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[6.61236835e-06],4,1.302345148476524,5.633286460280826,[-0.3306 -0.801 ],-47.15,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-2.1955101666012067, -2.197888591309579]], [[2.6118242260817497, 0.6914698667829636]], [[1.5569075894363171, 5.0]], [[-5.0, -5.0]], [[0.6731358391935974, -3.31076030892716]], [[-5.0, 5.0]], [[1.1187574615517415, 1.8997164525007157]], [[-3.132993806028035, 0.31760305164449637]], [[-2.9032106593959948, -5.0]], [[-0.2113521412319985, -0.43774733413797334]], [[-3.097764775369203, -1.7705323897838419]], [[-3.502671623855159, 2.8107574348319497]], [[-5.0, -3.538169027148179]], [[-0.641064600572277, 5.0]], [[-0.9418581434273239, -5.0]], [[1.7439180248268265, 0.19995721333912309]], [[-1.2040444532081613, 5.0]], [[0.9463133621173541, 5.0]], [[2.6110277672950177, -1.118587341375111]], [[-4.435846622100022, 5.0]], [[-4.5122120063010716, 1.531979442914512]], [[-2.080964823750612, 0.8188931378750661]], [[-3.915335617103579, -1.3157890111731452]], [[-4.43340289979089, 0.8711339139931953]], [[0.029800801074355662, -5.0]], [[-2.6855067712697513, 1.6264591925537373]]]"
5,"[-0.3961322646654214, 1.5869473324639205]",[145.58042358],[108.06042358],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[0.00055731],5,1.5527056314455465,8.413746355480843,[ 2.49   -1.9692],37.52,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[1.600941154765108, 4.4642052679182465]], [[3.3290024414582806, -1.7012270512959353]], [[-0.3961322646654214, 1.5869473324639205]], [[-0.3715589425022346, -5.0]], [[-1.9426793109903873, 2.5629383052298236]], [[-0.8884081858226244, -2.0708936272140566]], [[-4.529317574080081, 1.2643285146412173]], [[-4.129291094353768, -4.194787144695539]], [[-2.399209749490264, 0.24397747066354444]], [[-0.6261893462547002, -1.416876300091673]], [[0.4701622165441409, 2.0041855366780363]], [[3.8740584304666874, -3.141847816582928]], [[-1.1861231542236983, 2.758444577832309]], [[2.159081391060578, 4.653539253094245]], [[2.2623501543897797, 1.867117726554742]], [[4.542910139233282, 5.0]], [[4.0986865501581615, 5.0]], [[4.616530810147646, 3.338457223814192]], [[0.22417102652247678, 4.02107748233213]], [[-2.2238888179633776, -2.654402748938152]], [[2.1762401952270927, -4.260870716577585]], [[3.0782512894687257, -1.585477151447374]], [[-5.0, 4.8967418205138245]], [[0.9904778704464869, 1.700041601117199]], [[-3.41485730551723, -3.5855544994358284]], [[-4.402024470148477, 4.563452943864779]]]"
6,"[-0.5573808263072619, 5.0]",[-425.16006258],[0.58993742],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[1.61221379e-06],6,1.4942128215563053,8.30814824355912,[-1.3248  2.8794],-425.75,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[1.215264444788563, -5.0]], [[-5.0, -5.0]], [[-5.0, 5.0]], [[-1.403571598885003, 5.0]], [[-0.018336026848646915, 5.0]], [[-2.7960929716394562, -5.0]], [[-4.444311381019426, -0.5174323330914827]], [[-0.5573808263072619, 5.0]], [[-4.229758352569906, 5.0]], [[5.0, 5.0]], [[2.1178557130299778, 5.0]], [[-4.71914605169197, 5.0]], [[1.7722450350598997, -3.6752984820934795]], [[-1.9189081632175866, 5.0]], [[-3.844326384813482, -5.0]], [[-0.2869346478394832, 5.0]], [[-2.9031355882038303, 5.0]], [[-2.0784202070855327, -5.0]], [[-0.8135252586070375, -5.0]], [[2.341577476650103, -5.0]], [[4.832024967817757, 1.6324298611990022]], [[-4.866570572078974, 5.0]], [[-0.41964749134259555, -5.0]], [[-1.1057391244247425, 2.9329280010148837]], [[0.3790414928199993, -1.667476999301193]], [[-3.525560748950581, -5.0]]]"
7,"[0.5894739334464975, 1.2060257007711561]",[-216.54137292],[4.35862708],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[2.68386818e-05],7,1.8004505455828133,5.422184585382815,[-0.0522 -0.2904],-220.9,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-5.0, -4.999999999999999]], [[-3.2004762287822017, 5.0]], [[1.3651849045453268, 0.6891493088802263]], [[0.7556732074228504, -3.1308092169664756]], [[-0.49746281163734174, 2.99309341594605]], [[-2.5305126111970555, 0.25684119982881004]], [[-3.375013566877025, -5.0]], [[-1.9065085531689232, -5.0]], [[-3.6349041115191594, -3.817398116226184]], [[-4.095554562604468, 4.6059211803060265]], [[3.075891612485295, 2.889435068772217]], [[-4.853607078104918, 0.3553900671074208]], [[2.041653138600471, 5.0]], [[-0.2986687905354351, -1.6660328770698702]], [[-0.7308580971460893, -5.0]], [[2.3531569500482834, 4.044328315170854]], [[-2.2868965838900843, -2.916637266593404]], [[-4.733925462697109, 1.0622404104785845]], [[1.254531842732176, 5.0]], [[0.5894739334464975, 1.2060257007711561]], [[-2.197187208363427, 0.28994722385346083]], [[-0.5289787723605173, -0.44663581210820474]], [[-3.0928883230401203, 0.5274682900382608]], [[0.21745077650834685, -0.4425074797031083]], [[-1.9865655052646842, 5.0]], [[-0.9294422550285013, -3.332661901087003]]]"
8,"[-4.324211023819581, -2.7384333832177377]",[-325.99999737],[33.48000263],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[5.13711722e-05],8,1.794181830183085,7.311787493791925,[-2.9022 -2.4774],-359.48,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[-1.5166892737080488, -1.273256604402338]], [[-0.6212069814873695, 5.0]], [[-3.1363171606540576, -3.9654805328024896]], [[-5.0, -5.0]], [[-4.426846761755501, -5.0]], [[1.3049815507245839, -5.0]], [[-0.38157465274951996, -5.0]], [[-4.778539394408936, 5.0]], [[-2.9261733906988954, 5.0]], [[-1.6760494878359982, 5.0]], [[-2.6148963482664045, -5.0]], [[-4.324211023819581, -2.7384333832177377]], [[-1.4041938925865738, -0.19080428142055972]], [[0.6235364173707851, -4.362761810809546]], [[1.9053515331917301, 0.9807100300114312]], [[4.2184892858667915, -2.4405011252338262]], [[-3.3840437915813797, 0.5759297363321474]], [[-0.8874338061494014, 0.7582103383221497]], [[-4.547039600241963, -2.1638108747249554]], [[3.430682613548848, 4.524143430129138]], [[-0.010340930572195539, 3.7587107940879907]], [[-3.6587752761337287, -5.0]], [[-2.140128774034071, -5.0]], [[2.2135980461484372, -2.7546416861779353]], [[-1.2586179812229323, -1.9914273944873409]], [[4.657023254338537, 4.395252763242329]]]"
9,"[1.0597932788414757, 1.485645064081041]",[31.75631979],[4.27631979],"[array([ 4.37737385, -3.16299527]), array([-3.74679931,  3.67822969]), array([-2.35567677,  0.40304103]), array([ 2.81700139, -3.4870817 ]), array([-1.51808592, -1.33577106]), array([0.16936786, 2.86780872])]",[1.72209797e-05],9,2.5973435019056854,6.5842004028654575,[2.6274 2.0286],27.48,"[[[4.37737385301382, -3.1629952690104632], [-3.7467993086868527, 3.6782296912427643], [-2.355676774804809, 0.4030410331003331], [2.81700138865447, -3.4870817047915037], [-1.518085916987987, -1.3357710563554641], [0.1693678614842522, 2.867808718326609]], [[1.6469625245485515, 0.8405783837486261]], [[1.5876702354008634, 5.0]], [[0.9164875173526766, -5.0]], [[2.052457319934377, -5.0]], [[2.732653109855243, 3.704029541194692]], [[0.2391127666638969, 3.8370606324606666]], [[-0.40916624078356545, 2.6270734835702294]], [[2.2871822004897657, 1.6845874374694991]], [[-5.0, -5.0]], [[-4.376301718321083, -5.0]], [[-4.755942506088633, 5.0]], [[3.985037352644057, -5.0]], [[-3.0381658140458265, -5.0]], [[5.0, -5.0]], [[5.0, 5.0]], [[1.0597932788414757, 1.485645064081041]], [[2.365881373136018, 4.884836479623173]], [[0.18142461125760703, -1.8617082907940568]], [[-0.48219166279704984, 0.16792076517785723]], [[5.0, 1.8997733315134426]], [[3.723679889231276, 1.0803616426341585]], [[-1.5725153142410842, 5.0]], [[0.590998936437911, 1.2358536425528541]], [[4.35371893929497, 5.0]], [[3.4229553645776067, 5.0]], [[-2.535918496944901, -2.8585843871731385]]]"
