,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-3.4679848805459823, -3.3190601020014188]",[-121.52045091],[13.60954909],"[[-2.07184342  1.30631591]
 [-4.67150796  2.23715575]
 [ 0.36839503  0.82536591]
 [ 4.56042846  4.01391743]
 [-2.74774128  2.78631382]
 [-0.89950875  1.29703488]]",22054279746.653725,0,4.032801872517739,9.804962600601456,[-2.592  -2.6928],-135.13,"[[[-2.0718434190380375, 1.3063159115815264], [-4.671507958443216, 2.2371557497367984], [0.36839503279712815, 0.8253659139514768], [4.5604284598593665, 4.013917432976212], [-2.7477412788160516, 2.786313822340216], [-0.8995087489250473, 1.2970348794110533]], [[3.0606767247821174, -5.0]], [[1.5925413565570758, -2.33045421417749]], [[-3.4679848805459823, -3.3190601020014188]], [[-0.2411663745235137, -3.0271661691129457]], [[1.982682065513335, 2.5465752404876927]], [[-5.0, 3.4367569783073564]], [[5.0, -3.8931503664651057]], [[-5.0, -5.0]], [[-4.1165236660424265, -5.0]], [[-0.8484395723501938, -2.784756686617982]], [[-2.9984809123746152, -1.6368812230327845]], [[-1.6455420739983886, -1.5160713938781347]], [[-0.5586299555641014, -0.20588734738543835]], [[-2.425209543565869, 0.7777404411101119]], [[3.7563483094048706, 2.1241272711300674]], [[-4.65265961168625, 2.6313225556899145]], [[-4.148062060979024, -0.8622511186397901]], [[-0.9953686006896609, 5.0]], [[2.4024475305845723, -3.53886181904325]], [[-2.4991472784738047, 3.405477315876908]], [[3.3677944112569094, 3.341307992301294]], [[-0.7518325858776613, 0.8410122742846795]], [[-1.81279021663003, -0.13266831919148814]], [[-5.0, 0.37997074419989874]], [[1.4715100948904816, 3.156923902151682]], [[-2.738306274078519, 0.3595452572555118]]]"
1,"[-1.2959533104645384, -1.3182169074532617]",[150.69236221],[1.54236221],"[[ 2.06036868 -0.46532114]
 [ 2.00972229  2.31134475]
 [ 4.20363377  1.57825845]
 [ 3.90821797 -3.81647308]
 [-0.10447423 -3.15429968]
 [-0.45691062  2.87252952]]",1103796414.9982538,1,2.117679170488213,5.251794457145963,[-0.0552 -0.3708],149.15,"[[[2.060368676013482, -0.4653211414986522], [2.009722293173616, 2.3113447517772814], [4.203633765098543, 1.5782584487669897], [3.9082179724638717, -3.8164730831086446], [-0.10447423185718563, -3.1542996761117434], [-0.45691062206546373, 2.8725295164018414]], [[-0.2930819443322714, -3.1580423106721716]], [[0.9031892645775571, 2.5979375019214404]], [[0.4879596597508547, -0.8339591727950874]], [[-2.6910635328176857, -1.1885338737143287]], [[2.93148466544743, 3.375160904525157]], [[-0.15052251476760065, -3.2318725765607335]], [[0.3476196454745322, 4.842601968032271]], [[-3.30946403418957, 5.0]], [[-2.2594450457437185, 5.0]], [[-3.83564473489209, -3.1595612551986285]], [[-1.6307475284297717, -2.515892825200851]], [[-4.861503995367005, 5.0]], [[-1.2385095221507068, 0.5297282377363599]], [[1.7731315526951852, 5.0]], [[-0.1500558661814495, -0.30320914755278483]], [[-3.128010404382036, 2.4297938774748022]], [[-1.0629721329680881, -5.0]], [[0.29056132238474675, 4.202508317037783]], [[-2.1444434809615176, -0.11863076180306704]], [[-1.2959533104645384, -1.3182169074532617]], [[-2.85921491903857, 2.6185431916484183]], [[4.904168500952061, 4.346529343099926]], [[-5.0, -5.0]], [[-4.256251816277906, 5.0]], [[1.231618317496597, 0.8676696469947949]], [[-2.722208017447067, -4.455922944413538]]]"
2,"[-2.7795841263423613, 1.6286135718278212]",[-990.38072276],[9.61927724],"[[-3.10761716 -2.03190377]
 [ 1.87490412  1.86761539]
 [-2.77555524 -1.35961804]
 [ 1.13642162  4.40954027]
 [ 1.91745335 -4.16317277]
 [-4.49497678 -4.3149462 ]]",37871071628.73895,2,2.5372582019357823,7.157138053129435,[-2.8482  1.1766],-1000.0,"[[[-3.107617157427922, -2.031903766456904], [1.874904120803988, 1.867615393247977], [-2.7755552399876002, -1.3596180352117084], [1.13642162387465, 4.409540267128294], [1.917453348739885, -4.163172773367581], [-4.494976783711342, -4.3149462034574]], [[1.9676831689555971, 3.9131665755908056]], [[-1.3591127769405822, 5.0]], [[-5.0, 5.0]], [[-0.9170064624297407, 3.354807301465336]], [[-3.5355686360749607, 5.0]], [[-5.0, 0.19372109041167113]], [[-2.7795841263423613, 1.6286135718278212]], [[-1.774423035520042, 1.9815342466852843]], [[-1.1541971710126608, 2.371482642367086]], [[5.0, 5.0]], [[3.857619063341414, 5.0]], [[3.1349047411026048, 5.0]], [[0.09511705790891206, 5.0]], [[-1.2587070699719027, -2.95908590268222]], [[-3.612943268490019, 4.974880606374436]], [[-2.853055707499077, -5.0]], [[-5.0, 2.888061322763631]], [[5.0, -5.0]], [[0.005986963322001501, -5.0]], [[0.02769351238017839, -1.6255008632534373]], [[-4.257954235179223, -0.28360136304000005]], [[-2.9086650667883185, 3.714665250032813]], [[-3.821618123212974, -3.723850987874924]], [[-4.666132505004078, 1.670423870047601]], [[0.32493262202712536, -1.1802166961866734]], [[-2.5991880719190386, 4.250116991396016]]]"
3,"[-4.530805542171848, 5.0]",[120.40329535],[21.78329535],"[[ 2.76334961  4.42219688]
 [-3.96090433 -1.04750199]
 [-3.0052175   0.21652947]
 [-3.78806776  3.93015469]
 [ 0.09353217  3.48445637]
 [ 4.20948483  4.93442368]]",2797102892.7075453,3,2.588720130038084,7.882925143744723,[-0.8052 -1.1478],98.62,"[[[2.7633496070437094, 4.422196880528306], [-3.9609043308768213, -1.047501992923523], [-3.005217502350803, 0.2165294693784663], [-3.7880677554092044, 3.9301546878449685], [0.0935321661689219, 3.4844563687581225], [4.209484827306964, 4.934423680913099]], [[1.2622761940007352, 1.0572872235368809]], [[-3.363103000551584, 2.582799803126968]], [[-1.4074978803211975, 4.606474525175908]], [[0.5248139228108532, 0.015703440251669143]], [[-2.308543690378818, 0.48559737986821533]], [[0.3022236630429077, 1.788870320839487]], [[2.0504666984892617, -1.1138166928709226]], [[3.4505362213850916, 3.2577532610194493]], [[-0.9159940238226856, 1.8061368559506246]], [[5.0, 5.0]], [[-5.0, 2.9149075683721]], [[-0.9244276528932287, -5.0]], [[-2.106902140217902, -5.0]], [[-1.9421595987712257, 2.7871830498526275]], [[-0.2759202094083711, -0.7765910380349991]], [[-4.530805542171848, 5.0]], [[-3.97715959418111, -3.556942336851889]], [[-0.2796286525409698, 3.2601140149938828]], [[-3.1198627950257496, -4.202888868649639]], [[0.7182086202610507, 0.3844116724210729]], [[-3.6322960047622956, 2.9605199639028354]], [[-4.34722839357522, -1.114340593954374]], [[1.8753777857300893, -0.04054230676716486]], [[1.9475958721247941, -1.1953782493328586]], [[-1.6714505532723578, -3.1886120951445713]], [[1.5276901084874575, -4.170436926837449]]]"
4,"[-1.4613134421622456, -1.9370535379542286]",[-43.52631518],[3.62368482],"[[-3.616542    4.76346557]
 [ 0.85063725 -4.56174894]
 [-1.7264866   3.62074584]
 [-0.86195567 -0.72270051]
 [-4.47712913  4.31974263]
 [ 3.36767469 -0.0183048 ]]",1588416561.6065888,4,0.5370937192839648,6.589059794511851,[-0.3306 -0.801 ],-47.15,"[[[-3.6165419996873096, 4.763465569284941], [0.8506372537882401, -4.5617489417204915], [-1.7264865954427213, 3.620745839103286], [-0.8619556741826315, -0.7227005056963751], [-4.477129134412517, 4.31974263297041], [3.367674687834901, -0.018304800234981933]], [[-3.248969104313749, 0.5103984077154555]], [[3.943876810952773, -4.077741383938472]], [[-0.5149872508173294, 1.190778890074369]], [[2.102560766229828, -5.0]], [[-2.0823182501311046, -5.0]], [[1.749953893179835, 5.0]], [[1.013705649970538, 1.3437091020713205]], [[-4.844515615340063, -5.0]], [[-2.3054482948476167, -0.8923164172159973]], [[-3.988491055793172, 5.0]], [[-3.623268216756406, 3.2707692812557947]], [[-1.4613134421622456, -1.9370535379542286]], [[0.8927147619056449, 5.0]], [[-2.9846877647978007, 1.2608487771837489]], [[1.4724489488235584, 0.3153752387365376]], [[-2.10816591982078, 4.362125873731065]], [[-1.8034994427378246, -0.7119573127400249]], [[-1.7098006476463086, 3.2412033255756234]], [[-2.160006474805386, 1.040912726613331]], [[-3.6098964162564977, 3.2034629674033037]], [[-0.6912395587871845, 0.21871999125201697]], [[-3.1149942786494376, 0.8776675323784453]], [[-0.4219014152395286, -5.0]], [[2.627205270604655, 5.0]], [[0.08127064157624192, 5.0]], [[-1.0996912534490018, 1.400767225934103]]]"
5,"[4.272530050268757, 5.0]",[45.83790484],[8.31790484],"[[-0.00975191  1.51710285]
 [-0.73848916 -2.062294  ]
 [-4.48639366  0.53133549]
 [-0.16721657 -1.88379958]
 [ 0.34298911 -0.10568583]
 [-0.00451976 -3.86506356]]",1686097903.4690354,5,2.658588564569322,7.410988205741061,[ 2.49   -1.9692],37.52,"[[[-0.009751905342401557, 1.5171028540032863], [-0.7384891598511221, -2.0622940047466765], [-4.486393657241692, 0.5313354876168033], [-0.16721657460003403, -1.883799582380247], [0.3429891110804082, -0.10568583260298947], [-0.0045197575885218555, -3.8650635594850247]], [[2.059907305466979, -0.35800609010315787]], [[5.0, 5.0]], [[3.270651232945122, 5.0]], [[5.0, -5.0]], [[1.9978308726089535, 5.0]], [[-0.7368771137401691, -1.3459569560072238]], [[1.5543265560030572, -5.0]], [[-3.2659276878599175, -4.999999993778308]], [[2.8935174825172605, -5.0]], [[4.272530050268757, 5.0]], [[-1.1916698527757874, 5.0]], [[-5.0, 3.341788847600852]], [[1.0370921168879557, 5.0]], [[3.6644142377547966, -3.578681885615257]], [[0.8959074990276448, -5.0]], [[2.2071261885275977, -5.0]], [[-0.8278755098622532, 5.0]], [[2.6710313569329998, 1.1053406364121783]], [[-1.7792287603812063, -0.9421789250133223]], [[-3.4482925093134966, -2.609838983682482]], [[-2.3663652313653083, 1.7691007538793326]], [[-1.8948736307664296, 5.0]], [[3.63633706048481, 1.213957966744939]], [[4.4663851883148125, 2.05185472611061]], [[1.2048734244188781, -1.8403990603751728]], [[0.09607289029135932, 5.0]]]"
6,"[-3.2783196934747254, 2.4245804781456166]",[-408.68275371],[17.06724629],"[[ 3.59163756 -1.61780849]
 [ 0.79588825  4.99332226]
 [-4.17992601  2.67633509]
 [-1.36904755  4.60601715]
 [ 4.4522923  -2.48991206]
 [-0.38030107  0.17698864]]",8042422514.814455,6,1.727184021593664,7.886970740723093,[-1.3248  2.8794],-425.75,"[[[3.591637562626355, -1.6178084925907399], [0.7958882464105255, 4.993322264329379], [-4.179926014030368, 2.6763350938569204], [-1.3690475454185425, 4.606017154777774], [4.45229230184591, -2.489912060308556], [-0.3803010671829412, 0.17698864076719545]], [[-2.913148397401675, -5.0]], [[0.9648140019358433, -5.0]], [[-5.0, -5.0]], [[-3.529014938369815, 5.0]], [[-0.4455340549331569, 5.0]], [[-5.0, 5.0]], [[-1.5036368799878432, -5.0]], [[-1.171503093333343, 2.7290296398382066]], [[-3.2783196934747254, 2.4245804781456166]], [[-5.0, 0.635891204894471]], [[-0.3728552782011223, 2.5642238721123176]], [[2.5406847325063726, 2.4223350197914897]], [[-3.3956584113876604, 4.50097175583419]], [[-5.0, 4.5846170307582375]], [[-0.5549685595924752, 1.3931494690785278]], [[-5.0, -1.314880077226362]], [[-5.0, 1.9671288279869714]], [[-2.860003020468462, -0.48337703973129864]], [[-5.0, -0.43667623848621195]], [[-5.0, -3.327110067507863]], [[-1.2866447659754552, 2.0838903173462633]], [[-2.4716218761774322, 0.4818849367012678]], [[-3.104906978488958, -2.2038051722870544]], [[5.0, 0.06618901934518125]], [[-1.113391717969052, -1.23772369996651]], [[-2.7282428420025484, -4.111777859586109]]]"
7,"[-1.5205439248121597, -0.9455728777441142]",[-217.16941571],[3.73058429],"[[ 3.6476306  -1.63369345]
 [-1.87272521  3.62033766]
 [ 4.40805255 -1.20857995]
 [ 1.63848259  3.88742689]
 [-0.74565539  3.86110849]
 [-0.0432351  -4.69394488]]",1145246986.7153604,7,3.9361381773443447,4.55377944070819,[-0.0522 -0.2904],-220.9,"[[[3.647630598083685, -1.6336934514213128], [-1.872725209713093, 3.620337659148136], [4.408052546392458, -1.2085799480582207], [1.638482585426221, 3.8874268931866816], [-0.7456553879806656, 3.8611084904555053], [-0.04323509676395698, -4.69394488091421]], [[1.0406080918017262, -4.613400436097325]], [[-1.9370228324764527, 3.6958175521395997]], [[-4.346717351774864, -5.0]], [[-4.207259098258249, 1.5695150499580155]], [[5.0, 4.207956326160598]], [[-2.2288677172331894, 1.1683473724681024]], [[2.8566460522552766, 0.736042241354243]], [[2.127882426561374, 2.0421650827658766]], [[-2.689944181000172, 2.4669043221958975]], [[-1.7539360172474736, -5.0]], [[1.655247454593185, 5.0]], [[-5.0, 5.0]], [[0.38833015901176576, 1.894515432097556]], [[-0.9780582864801843, -2.1445241929001004]], [[-3.5625343366948914, 5.0]], [[-0.17617584316429705, -0.3226431461607637]], [[0.9994729175335705, 5.0]], [[-2.79577698188038, -5.0]], [[-3.3748883185009353, 1.4027147820305228]], [[-1.5205439248121597, -0.9455728777441142]], [[0.5820213100013575, -0.3988005551039899]], [[-4.058207097055496, 5.0]], [[2.282196001142411, -5.0]], [[-4.55302262844425, -0.7858406923202061]], [[-3.3576418530913847, 3.5940324057625896]], [[-0.9236147066153334, -0.1257582148231375]]]"
8,"[-2.7615661857663922, -2.0129316003628053]",[-356.78951766],[2.69048234],"[[ 0.46050545  2.59972065]
 [ 0.78524874  0.66715872]
 [ 1.36311643  4.01352452]
 [-2.47734809 -0.49472681]
 [-1.01592481 -1.0213135 ]
 [-2.6255826  -3.73815298]]",31608409994.054398,8,1.2907421376474033,7.766918651003211,[-2.9022 -2.4774],-359.48,"[[[0.46050544819311234, 2.599720646988896], [0.785248744426168, 0.6671587249362068], [1.3631164277921304, 4.013524518287678], [-2.477348094314901, -0.49472681123025186], [-1.015924810558312, -1.0213134991784587], [-2.6255825981738647, -3.7381529809227287]], [[-0.3279474319797774, 0.1513109171589523]], [[-1.6303580591334526, -5.0]], [[-3.728118278423934, 4.300096636577142]], [[3.8260853947852915, 1.2375469809500033]], [[-4.446637186377938, -0.09255570555595428]], [[2.226104288066043, -5.0]], [[-5.0, 5.0]], [[-3.1906001764287635, 0.20083916937886212]], [[-4.339294471581835, 2.4816684755544482]], [[-1.3059493356847889, 5.0]], [[-4.756368265973445, -5.0]], [[-2.600211031928123, 5.0]], [[-3.7800303000870876, -5.0]], [[5.0, -5.0]], [[-2.9213055214174175, 4.352299249506621]], [[-0.6358997376954298, 1.3691426325345484]], [[1.6985906967089774, 3.48680042804788]], [[0.06729804101834257, -4.302750400237089]], [[-4.012956060397248, -2.7923849172771296]], [[-2.1464466425632045, 4.27742195042483]], [[-2.290117183236789, -5.0]], [[-2.7615661857663922, -2.0129316003628053]], [[-5.0, 1.204887809954715]], [[5.0, 5.0]], [[-5.0, -3.939249830606124]], [[-2.434778472447734, 2.1649924187245486]]]"
9,"[3.5971113254373024, 5.0]",[29.26007943],[1.78007943],"[[ 3.83874215 -3.95788416]
 [ 2.86798548 -4.63913376]
 [ 2.72665749  1.3435627 ]
 [-1.25976023 -1.42920616]
 [-4.97496359 -1.15847577]
 [ 3.95162974  4.81415844]]",3269825504.108964,9,0.6921908329605998,8.243384260883362,[2.6274 2.0286],27.48,"[[[3.838742147429649, -3.9578841631201147], [2.8679854775102864, -4.639133758272287], [2.726657494986828, 1.3435627025310017], [-1.2597602345195211, -1.4292061622377492], [-4.974963586681588, -1.1584757707461888], [3.95162974302705, 4.814158442458927]], [[-4.647483914915989, -3.9982661773570802]], [[2.898349064760668, 1.3113715160756296]], [[0.33105128303447134, -3.2790531196099715]], [[-0.3522881291460913, 5.0]], [[-0.0668040382672302, 1.449370900133169]], [[2.6722409636710234, 5.0]], [[-1.1861395697854078, 5.0]], [[3.428974170551095, 3.3084312128550413]], [[3.5971113254373024, 5.0]], [[1.596846540568194, 2.840650140354952]], [[0.5304774089749666, -5.0]], [[-0.8138789527509911, 2.9491240512597896]], [[2.8807159548602894, 2.280355466406877]], [[-2.57597119332704, 4.628385598530807]], [[-4.617774174297525, 3.6728254347578435]], [[0.6714405182421519, 2.1624356115584176]], [[4.309531490734812, -2.447160899469358]], [[-0.6729876853070726, 0.03155146896566885]], [[-4.210621222301108, 1.504973979109901]], [[1.7011257966965128, -1.2538292240231725]], [[0.6847472540732163, -2.288687797653114]], [[5.0, -5.0]], [[-0.25259494569800356, 4.164454665724461]], [[0.4936854550648947, -0.7966217292964793]], [[3.4555413579254703, -0.4544678846256372]], [[1.5157616766014081, -4.1722484066122805]]]"
